"incident_id","operation_name","operation_color","incident_title","date","date_sort_value","strike_type","confirmed","origin_lat","origin_lng","origin_label","origin_sublabel","target_lat","target_lng","target_label","target_sublabel","summary","assessment","platform_or_unit","munitions_weapons","munitions_quantity","range_km","target_type","target_depth_hardening","military_kia_friendly","military_kia_enemy","civilian_kia","military_wia_friendly","personnel_deployed","aircraft_deployed","naval_vessels","result_outcome","nuclear_setback_assessment","economic_impact","intercepted_munitions","key_intelligence_notes","osint_sources","press_sources","think_tank_sources","tags","badge_colors","is_retaliation","is_covert","is_first_use","disputed"
"ef-main","Op. Epic Fury","#ffa726","Op. Epic Fury: Opening Strike Package","Feb 28 2026","65","bomber","TRUE","-7.32","72.42","Diego Garcia + Naval Gulf/Red Sea","B-2s + 13 Arleigh Burke destroyers","35.0","51.0","Iran — Military & Nuclear Infrastructure","900+ strikes in first 12 hours","Follow-on campaign to Midnight Hammer. 900+ strikes in first 12 hours — largest US air campaign since 2003 Iraq invasion. Target set: IRGC command; ballistic missile infrastructure; naval assets; air defense; leadership. B-2s from Diego Garcia + 13 Arleigh Burke destroyers. Weapons: GBU-57; TLAM; PrSM; HIMARS; JDAM; SDB. 555+ Iranian civilians killed (Iranian Red Crescent). 3 US KIA from Iranian counter-strike in Kuwait.","900 strikes on day one eclipsed Desert Storm's opening phase. Simultaneous targeting of nuclear remnants, IRGC command, ballistic missile infrastructure, and leadership in a single package represents a true effects-based campaign design.","B-2 Spirit + Arleigh Burke DDG + HIMARS + F-15E + F-35","GBU-57 MOP; BGM-109 Tomahawk; PrSM; JDAM; SDB; HIMARS GMLRS","900+ strikes in 12hrs","Various — up to 11000","Nuclear remnants; IRGC; ballistic missile infrastructure; naval; leadership","Mixed surface and underground","3 KIA + 5 WIA (Kuwait — Iran counter)","Unknown","555+ (Iranian Red Crescent)","5","150000","150+","13","Nuclear/military infrastructure degraded; 3 US KIA from Iranian counter","1–2 years (Pentagon); months (IAEA)","Brent crude +9% → $79.45; intraday +12–13%; war-risk insurance +50%","708 total (in GCC separate engagement)","UNSC emergency meeting convened; MATA tracked 100+ tankers 200+ cargo pre-positioned; Oliver Alexander 4-day F-22 warning","MATA|https://twitter.com/MT_Anderson; Oliver Alexander (OSINT)|https://twitter.com/OAlexanderDK; Washington Post (Feb 24 2026 buildup)|https://www.washingtonpost.com","The War Zone|https://www.thedrive.com/the-war-zone; Aerospace Global News|https://aerospacedefensenews.com; Air & Space Forces Magazine|https://www.airandspaceforces.com; FDD Action|https://www.fdd.org","CSIS|https://www.csis.org; FDD|https://www.fdd.org; Stimson Center|https://www.stimson.org; Critical Threats (AEI/ISW)|https://www.criticalthreats.org","900 STRIKES/12HR; EPIC FURY D1; B-2+NAVAL; 3 US KIA","red;gold;blue;red","FALSE","FALSE","FALSE","FALSE"
"ef-prsm","Op. Epic Fury","#ffa726","PrSM Combat Debut: Kuwait → Iran","Feb 28 2026","66","missile","TRUE","29.5","47.6","US Army HIMARS/M270 Kuwait","PrSM Precision Strike Missile launchers","32.4","50.5","Western Iran — Military Targets","IRGC bases, missile storage","PrSM (Precision Strike Missile) made its combat debut launched from US Army HIMARS and M270 platforms in Kuwait. Successor to ATACMS with range 499+ km. GPS/INS/terminal seeker guidance. Mach 6+ terminal velocity. Generational leap in US ground-based precision strike. Demonstrates long-range fires capability to China and North Korea.","PrSM combat debut demonstrates US Army long-range fires capability to China and North Korea. Kuwait launch proves pre-positioned ground forces can supplement naval/air precision strike.","M270A2 MLRS + HIMARS","PrSM (Precision Strike Missile)","Classified","499+","IRGC bases / missile storage","Surface","0","0","0","0","","0","0","IRGC targets struck — first PrSM combat use","","","","First combat use of PrSM; demonstrates US Army long-range fires capability to China and North Korea; manufactured by Lockheed Martin","","The War Zone|https://www.thedrive.com/the-war-zone","","PrSM DEBUT; COMBAT FIRST; HIMARS; KUWAIT; 499KM RANGE","gold;orange;blue;blue;green","FALSE","FALSE","TRUE","FALSE"
"ef-nawab","Op. Epic Fury","#ffa726","Tomahawk Saturation: 13 Destroyers","Feb 28 2026","67","missile","TRUE","26.5","56.0","US Navy Strait of Hormuz / Persian Gulf","13 Arleigh Burke-class destroyers","33.5","48.5","Iranian Military Targets Multiple","IRGC, C2, missiles, air defense","Tomahawk saturation from 13 Arleigh Burke DDGs. Each carries up to 96 TLAMs (theoretical max ~1248 total). Largest TLAM volley since Operation Iraqi Freedom 2003. Targets: IRGC Quds Force bases; missile production; air defense; C2 nodes.","Sheer volume of Tomahawk fire created a saturation challenge for Iranian air defenses, which had already been significantly degraded by the IDF 12-day campaign.","Arleigh Burke-class DDG (×13)","BGM-109 Tomahawk Block IV/V","Up to 1248 capacity","1600–1800","C2, missile production, air defense, IRGCN","Surface","0","0","0","0","","0","13","Iranian military infrastructure degraded","","","","Each Arleigh Burke carries up to 96 Tomahawks in VLS; 13 ships = ~1248 theoretical capacity; largest TLAM volley since OIF 2003","","Military Times|https://www.militarytimes.com; The War Zone|https://www.thedrive.com/the-war-zone; Gulf News|https://gulfnews.com","","13 DESTROYERS; TOMAHAWK; VLS SATURATION; LARGEST SINCE 2003","blue;blue;orange;gold","FALSE","FALSE","FALSE","FALSE"
"ef-minab","Op. Epic Fury","#ffa726","Minab Strike — Worst Single Incident (148 Killed)","Feb–Mar 2026","70","nuke","FALSE","26.8","57.5","Origin disputed","Attribution contested","27.09","57.05","Minab Hormozgan Province Iran","148 civilians killed","Strike on Minab resulted in 148 deaths — single deadliest incident of the entire campaign. Total Iranian civilian casualties: 555+ (Iranian Red Crescent). Cited at emergency UN Security Council meeting. Attribution contested — US/Israel deny deliberate civilian targeting.","Whether the strike resulted from GPS drift, intelligence failure, or deliberate targeting remains disputed. The incident became the focal point for international condemnation and underscores the challenge of precision strikes in densely populated coastal areas.","Unknown — disputed","","Unknown","","Civilian area (school)","Surface","0","0","148","0","","","","148 civilians killed; worst single incident","","Brent crude impact","","Attribution contested — US/Israel deny deliberate civilian targeting; GPS drift or intelligence failure possible","","Air & Space Forces Magazine|https://www.airandspaceforces.com; UNSC Security Council Report|https://www.un.org/securitycouncil","","148 KILLED; CIVILIAN STRIKE; 555+ TOTAL CIVN; DISPUTED","red;red;red;gold","TRUE","FALSE","FALSE","TRUE"
"rl-khamenei","Op. Roaring Lion","#ffd54f","Op. Roaring Lion: Khamenei Eliminated","Feb 28 2026","65","sof","TRUE","32.5","36.0","CIA / Mossad Joint Intelligence Operation","Months of tracking — location classified","35.65","51.4","Tehran — Underground Bunker","Supreme Leader Ali Khamenei","CIA and Mossad joint operation to eliminate Iranian Supreme Leader Khamenei. CIA tracked him for months. He hid in underground bunker; officials meeting him were required to do so blindfolded to prevent disclosure of location. CIA penetration of security apparatus enabled precise location. Killed by precision airstrike Feb 28 2026. Triggered Iranian regime crisis and emergency UNSC session.","Khamenei's killing — Supreme Leader since 1989 — creates a succession crisis with no clear mechanism. CIA penetration of his security apparatus despite blindfolded-official protocols represents one of the most significant intelligence coups since Bin Laden.","CIA + Mossad (joint) — airstrike","Precision airstrike (type classified)","1","","Underground bunker — VIP HQ","Deep underground, extreme hardening","0","1 (Ayatollah Khamenei — Supreme Leader of Iran)","0","0","","1","0","Khamenei KILLED — Iranian regime crisis triggered","","","","Iranian regime crisis post-kill; succession crisis — Guardian Council must select new Supreme Leader; Emergency UNSC session; officials met Khamenei blindfolded to prevent location disclosure","","CNN|https://www.cnn.com; The Week India|https://www.theweek.in; Geo.tv|https://www.geo.tv; The Word 360|https://theword360.com","","KHAMENEI KILLED; CIA+MOSSAD; SUPREME LEADER; REGIME CRISIS","red;gold;red;orange","FALSE","TRUE","FALSE","FALSE"
"rl-commanders","Op. Roaring Lion","#ffd54f","Opening Salvo: 40 Senior IRGC Commanders Killed","Feb 28 2026","65","fighter","TRUE","31.9","35.0","Israel + US Coordinated Strike","Air + intelligence convergence","35.5","51.1","Tehran + IRGC Command Nodes","C2 HQs, residences, safe houses","40 senior IRGC commanders eliminated simultaneously in opening salvo of Epic Fury / Roaring Lion. Largest single military leadership decapitation in modern warfare history. Simultaneous execution prevented warning spreading between targets.","Surpasses 18 Iraqi leaders killed in the opening hours of OIF. Required months of pre-positioned intelligence. Simultaneous execution was crucial — any warning would have allowed dispersion.","US + Israeli air assets (coordinated)","Precision airstrikes (PGMs)","40+ simultaneous","","Command and control / leadership residences","Surface — multiple urban locations","0","40 senior IRGC commanders","0","0","","Multiple","0","40 senior commanders killed — IRGC command chain decapitated","","","","Most senior commanders killed simultaneously; surpasses 18 Iraqi leaders killed in opening hours of OIF; months of pre-positioned intelligence required","","Armed Forces Press|https://armedforcespress.com","Stimson Center|https://www.stimson.org","40 COMMANDERS; SIMULTANEOUS; OPENING SALVO; UNPRECEDENTED","red;gold;gold;gold","FALSE","FALSE","FALSE","FALSE"
"ir-gcc","Iran Retaliation","#ef5350","Iranian Barrage: UAE & Saudi Arabia — 708 Intercepted","March 2026","82","retaliation","TRUE","31.5","50.8","Iran — Missile/Drone Launch Sites","IRGC Aerospace Force","24.4","54.0","UAE + Saudi Arabia","Critical infrastructure targets","Largest Iranian retaliatory strike: 165 ballistic missiles + 2 cruise missiles + 541 drones fired at UAE and Saudi Arabia. GCC air defenses (Patriot PAC-3; THAAD; Arrow-3; Iron Dome; Tor M1) claimed full intercept. Largest air defense battle in recorded history.","708 munitions in a single engagement tests layered air defense with overwhelming volume — a tactic refined watching Russian drone warfare in Ukraine. The cost-exchange problem: Shahed-136 ~$20k vs Patriot PAC-3 ~$4M — attacker has strong economic advantage.","IRGC Aerospace Force","Ballistic missiles (Shahab/Qiam type); cruise missiles; Shahed-type drones","165 BM + 2 CM + 541 drones = 708 total","Various","Critical infrastructure — UAE and Saudi Arabia","Surface","0","0","0 (all intercepted)","0","","0","0","All munitions intercepted (claimed)","","Brent crude +9% → $79.45; intraday +12–13%","708 total intercepted (165 BM + 2 CM + 541 drones)","Largest air defense engagement in history; Shahed-136 costs ~$20000; Patriot PAC-3 costs ~$4M — cost-exchange asymmetry favors attacker","","Breaking Defense|https://breakingdefense.com; CNBC|https://www.cnbc.com","CFR|https://www.cfr.org","165 BALLISTIC MISSILES; 541 DRONES; ALL INTERCEPTED; LARGEST EVER","red;red;green;gold","TRUE","FALSE","FALSE","FALSE"
"ir-hormuz","Iran Retaliation","#ef5350","Hormuz Crisis: -70% Tanker Traffic Collapse","March 2026","85","naval","TRUE","27.3","56.5","IRGCN / Iran — Bandar Abbas","Mining + missile threat","26.6","56.3","Strait of Hormuz","Global oil chokepoint","Iran threatened Strait of Hormuz via IRGCN fast-boat harassment; mine-laying; anti-ship missile threats. Tanker traffic collapsed 70%. 150+ ships anchored outside strait. Brent crude +9% to $79.45 (intraday +12-13%). War-risk insurance +50%. Qatar LNG facilities struck; production halted.","Worst global energy disruption since 1973 Arab oil embargo. Unlike prior Hormuz threats, active war context made the threat credible enough to collapse transits. Fertilizer impact creates downstream food price ripple 6–12 months later.","IRGCN fast boats + mine-laying assets + anti-ship missiles","Mines; anti-ship missiles; fast-attack craft","Ongoing","","Shipping lanes — Strait of Hormuz","N/A — naval/maritime","0","0","0","0","","0","Multiple IRGCN vessels","De-facto blockade — tanker traffic -70%","","-70% tanker traffic; 150+ ships anchored outside Hormuz; Brent crude +9% → $79.45; intraday +12–13%; war-risk insurance +50%; Qatar LNG halted","","20% global petroleum transits Hormuz; 33% global fertilizer trade transits Hormuz; Qatar LNG hit halts key European alternative supply","","CNBC|https://www.cnbc.com; FreightWaves|https://www.freightwaves.com","The Conversation|https://theconversation.com","-70% TRAFFIC; 20% GLOBAL OIL; $79.45 BRENT; QATAR LNG HIT","red;orange;orange;red","TRUE","FALSE","FALSE","FALSE"
"ir-proxies","Iran Retaliation","#ef5350","Iran Proxy Network Activates: Iraq + Lebanon + Yemen","Feb–Mar 2026","80","retaliation","TRUE","33.3","44.4","Iran Proxy Network Iraq/Lebanon/Yemen","PMF, Hezbollah, Houthi","31.5","35.5","Regional US/Israeli Targets","Bases, shipping, Israeli cities","Iran activated full proxy network simultaneously: Iraqi PMF; Lebanese Hezbollah; Yemeni Houthi declared readiness to respond to US-Israeli strikes. Three-front simultaneous activation — Iran's asymmetric deterrent answer to losing conventional military exchange.","Iran's proxy network is its primary insurance policy — a distributed asymmetric threat that survived the killing of Khamenei and destruction of the IRGC. The three-front activation represents Iran's strategic answer to losing the conventional exchange.","PMF Iraq + Hezbollah Lebanon + Houthi Yemen (all Iran-backed)","Mixed — rockets; missiles; drones; naval mines","Multiple ongoing","","US bases / Israeli cities / shipping lanes","Various","0","Unknown","Unknown","0","","0","0","3-front proxy activation — US/Israeli forces threatened across region","","","","Iraqi PMF threatens US bases in Iraq/Kuwait/Jordan; Hezbollah poses mass rocket threat to Israeli cities; Houthi activates Bab el-Mandeb","","Fox News|https://www.foxnews.com","Soufan Center|https://thesoufancenter.org; Chatham House|https://www.chathamhouse.org","3-FRONT PROXY; PMF IRAQ; HEZBOLLAH; HOUTHI; ASYMMETRIC","red;orange;red;pink;gold","TRUE","FALSE","FALSE","FALSE"
"ir-houthi","Houthi / Proxies","#f06292","Houthi Red Sea Activation: New Attack Warning","2025–2026","50","missile","FALSE","15.36","44.19","Yemen — Houthi-Controlled Territory","Saada + Hodeidah launch sites","14.5","42.5","Red Sea Shipping Lanes","Global commercial shipping","Iran-backed Houthi forces warned of new Red Sea attacks in response to US-Israeli strikes on Iran. Previously disrupted global shipping via anti-ship missiles and drone attacks (80+ ships hit since Nov 2023). New activation threatened dual chokepoint — Hormuz + Bab el-Mandeb simultaneously.","Houthi Red Sea activation alongside Hormuz closure creates worst-case dual chokepoint. Cape of Good Hope rerouting adds 10–14 days and significant shipping costs.","Houthi (Ansar Allah) — Iran-backed","Anti-ship ballistic missiles (Mach 3); Shahed-type drones; naval mines","Multiple ongoing","","Commercial shipping — Red Sea","N/A — open ocean","0","Unknown","Unknown","0","","0","Multiple Houthi vessels","Ongoing threat — Red Sea traffic disrupted","","Rerouting via Cape of Good Hope adds 10–14 days to voyages; shipping cost spike; Bab el-Mandeb + Hormuz dual chokepoint created","","Prior campaign hit 80+ ships since Nov 2023; Houthi demonstrated resilience despite prior US strikes in Yemen","","FreightWaves|https://www.freightwaves.com","Soufan Center|https://thesoufancenter.org","RED SEA; HOUTHI; BAB EL-MANDEB; DUAL CHOKEPOINT","red;pink;red;red","TRUE","FALSE","FALSE","FALSE"
"scs-carrier","China SCS Operations","#ff5252","PLAN Carrier Strike Group: Spratlys Show-of-Force","Mar–Apr 2025","10","maritime","TRUE","20.0","110.35","Hainan Island — PLAN Yulin Naval Base","Sanya — Southern Theater Command HQ","11.5","114.5","Spratly Islands — Fiery Cross Reef","PLAN artificial island air/naval base","PLA Navy Shandong carrier strike group conducted extended operations in and around the Spratly Islands centered on Fiery Cross Reef. Demonstrated China's increasing ability to project naval power throughout the contested SCS and pressure Philippine and Vietnamese claimants simultaneously. J-15 carrier aircraft conducted air defense exercises over disputed maritime zones.","The Shandong CSG operation combined with the hardened Fiery Cross base creates a layered anti-access architecture that significantly complicates any US/Philippine military response. The J-15 exercises over the Spratlys asserted Chinese air dominance over disputed waters.","CV-17 Shandong (Type 001A) + 2× Type 055 + 4× Type 052D + 1× Type 093 SSN","J-15B carrier fighters + Z-9 ASW helicopters + ship-borne weapons systems","Multiple sorties","","Disputed maritime zone — Spratly Islands","N/A — power projection","0","0","0","0","","Multiple J-15B","7","~14 days extended operations; J-15 exercises over Spratlys; PHL BRP Jose Rizal + P-3C deployed in response","","","","Fiery Cross Reef: 3000m runway; hardened aircraft shelters; SAM systems; CDCM batteries; Shandong CSG combined with Fiery Cross base creates layered A2/AD architecture","CSIS AMTI (satellite surveillance)|https://amti.csis.org","USNI News|https://news.usni.org; Asia Times|https://asiatimes.com","CSIS AMTI|https://amti.csis.org","SHANDONG CSG; SPRATLYS; SHOW OF FORCE; FIERY CROSS","cyan;blue;orange;cyan","FALSE","FALSE","FALSE","FALSE"
"scs-scarborough","China SCS Operations","#ff5252","CCG Mass Blockade: Scarborough Shoal (Philippines)","May–Jun 2025","15","maritime","TRUE","21.5","114.0","China Coast Guard — Southern Theater","CMSLE fleet — Guangdong District","15.13","117.77","Scarborough Shoal (Bajo de Masinloc)","Philippine EEZ — 200nm from Luzon","China Coast Guard deployed up to 40 vessels simultaneously to enforce de-facto blockade of Scarborough Shoal. CCG vessels used water cannons, sound devices, and laser blinding against Philippine Coast Guard ships. Prevented Filipino fishermen from accessing traditional fishing grounds inside Philippine EEZ. 2016 PCA tribunal ruled China has no legal basis for claims.","Scarborough Shoal blockade represents China's ""salami slicing"" gray-zone strategy — incremental coercion below the threshold of armed conflict. Each iteration of harassment normalizes the next level of coercion. The US-Philippines Mutual Defense Treaty (MDT) technically covers Philippine armed forces but has been deliberately not invoked for CCG-on-PCG harassment.","China Coast Guard (CCG) — up to 40 vessels","Water cannons; sound devices; laser dazzlers; physical blockade","Up to 40 vessels simultaneously","","Maritime zone — Scarborough Shoal","N/A — gray-zone coercion","0","0","Multiple PCG sailors injured","","","0","40+","CCG blockade sustained; Filipino fishermen excluded; FONOPS conducted by USN","","Brent crude minimal impact; Philippine fisheries economic damage","","2016 PCA tribunal: China has NO legal basis for claims; blockade represents salami-slicing gray-zone strategy below armed conflict threshold; US-PHL MDT technically covers armed forces but not CCG-on-PCG harassment","CSIS AMTI (documentation)|https://amti.csis.org; @MT_Anderson|https://twitter.com/MT_Anderson","USNI News|https://news.usni.org; Benar News|https://www.benarnews.org","CSIS AMTI|https://amti.csis.org","40 CCG VESSELS; WATER CANNON; SCARBOROUGH SHOAL; GRAY-ZONE","red;orange;cyan;gold","FALSE","FALSE","FALSE","FALSE"
"scs-second-thomas","China SCS Operations","#ff5252","Second Thomas Shoal: Resupply Interdiction Escalates","Aug–Sep 2025","20","maritime","TRUE","17.0","116.5","China Coast Guard + PAFMM","People's Armed Forces Maritime Militia","9.73","115.52","Second Thomas Shoal (Ayungin Shoal)","BRP Sierra Madre — PHL military outpost","CCG and PAFMM conducted systematic interdiction of Philippine military resupply missions to BRP Sierra Madre — a deliberately grounded WWII-era ship serving as PHL military outpost. CCG used water cannons, sound devices, and in at least one incident directed-energy weapons. Philippine sailors injured. Shoal sits within Philippine EEZ and was ruled PHL sovereign territory by 2016 PCA tribunal.","Second Thomas Shoal has become the most kinetically active gray-zone flashpoint in Asia. China's willingness to use directed-energy weapons against Philippine sailors marks an escalation from prior water-cannon-only harassment. The BRP Sierra Madre is deliberately kept in deteriorating condition by the Philippines to maintain a permanent physical presence — replacing it would require a Chinese decision to allow or physically block the operation.","China Coast Guard (CCG) + PAFMM militia fishing vessels (100+)","Water cannons; sound devices; directed-energy weapon (DEW); physical ramming","Multiple ongoing resupply interdictions","","PHL military outpost — BRP Sierra Madre","N/A — gray-zone coercion","0","0","Multiple Filipino sailors injured","","","0","Multiple CCG + 100+ PAFMM militia","Ongoing interdiction — resupply missions harassed; BRP Sierra Madre deteriorating","","","","Second Thomas most kinetically active gray-zone flashpoint in Asia; DEW use marks escalation from water-cannon-only harassment; BRP Sierra Madre deliberately kept deteriorating to maintain physical presence","CSIS AMTI (incident tracker)|https://amti.csis.org; @MT_Anderson|https://twitter.com/MT_Anderson","Reuters|https://www.reuters.com; Foreign Policy|https://foreignpolicy.com","CSIS AMTI|https://amti.csis.org; Stimson Center|https://www.stimson.org","DEW ATTACK; BRP SIERRA MADRE; PAFMM; PHL EEZ; SECOND THOMAS","red;cyan;orange;blue;cyan","FALSE","FALSE","FALSE","FALSE"
"scs-fonops","China SCS Operations","#ff5252","USS [DDG] FONOP: China Intercepts with J-16 Fighter","Oct 2025","25","naval","TRUE","21.0","128.0","US Navy 7th Fleet","USS [DDG-class] — Freedom of Navigation","15.5","114.3","Spratly Islands — Disputed Waters","Within 12nm of PLA-constructed island","US Navy Arleigh Burke DDG conducted FONOP within 12nm of PLA-constructed artificial island asserting China's straight baselines are unlawful under UNCLOS. PLAAF J-16 Flanker-D fighters intercepted the destroyer conducting unsafe maneuvers at close distance. PLAAF has conducted 180+ unsafe intercepts of US and allied aircraft since 2021.","The J-16 intercept was one of ~180+ unsafe intercepts the PLA has conducted since 2021. Each FONOP is legally necessary to prevent China's claims from becoming accepted by acquiescence. The PLA's response escalation from protests to physical intercepts represents a concerning trend toward possible miscalculation.","Arleigh Burke-class DDG (US 7th Fleet)","Ship-borne weapons (defensive posture only)","","12nm","Freedom of navigation — disputed maritime zone","N/A","0","0","0","0","","0","1 DDG + J-16 intercept","FONOP completed; UNCLOS rights asserted","","","","180+ unsafe PLA intercepts of US/allied aircraft since 2021; FONOP legally necessary to prevent claims becoming accepted by acquiescence; J-16 conducted close unsafe maneuvers","CSIS AMTI|https://amti.csis.org","USNI News|https://news.usni.org; Defense News|https://www.defensenews.com","CSIS|https://www.csis.org","FONOP; J-16 INTERCEPT; UNCLOS; 7TH FLEET; UNSAFE INTERCEPT","blue;red;gold;blue;red","FALSE","FALSE","FALSE","FALSE"
"scs-island-build","China SCS Operations","#ff5252","PLA Island Upgrades: Mischief Reef Expansion","2025 Ongoing","5","island","TRUE","9.9","115.5","PLAN — Construction Vessels / Dredgers","Southern Theater Command","9.9","115.53","Mischief Reef Spratly Islands","PHL EEZ — 250km from Palawan","CSIS AMTI satellite monitoring confirmed continued expansion and hardening of PLA installations at Mischief Reef in 2025. Additional aircraft hangar construction; upgrade of missile launcher positions; deployment of additional coastal defense cruise missile (CDCM) batteries. Mischief Reef sits within Philippine EEZ 250km from Palawan. 2016 PCA tribunal ruled PLA occupation unlawful.","Mischief Reef's strategic position in the Philippine EEZ, combined with its hardened military infrastructure, creates a persistent forward-deployed threat to the Philippines that effectively negates Philippine sovereign rights over the feature and its surrounding waters. The missile systems deployed can threaten Philippine and US naval vessels throughout the western Philippines.","PLAN construction vessels + Southern Theater Command garrison","YJ-12B CDCM (400km range ASCM); HQ-9B SAM system; garrison weapons","Ongoing construction","","Artificial island military base — Philippine EEZ","Hardened above-surface installations","0","0","0","0","Garrison force","","Multiple construction vessels","Expanded military infrastructure — CDCM and SAM deployed","","","","3000m runway capable of fighter/bomber operations; YJ-12B can threaten PHL and US naval vessels throughout western Philippines","CSIS AMTI (Planet Labs satellite monitoring)|https://www.planet.com","CSIS AMTI|https://amti.csis.org; Planet Labs|https://www.planet.com","CSIS AMTI|https://amti.csis.org","MISCHIEF REEF; CDCM DEPLOYED; ILLEGAL OCCUPATION; PHL EEZ; YJ-12B","cyan;red;red;blue;orange","FALSE","FALSE","FALSE","FALSE"
"scs-taiwan-strait","China SCS Operations","#ff5252","PLAAF: 103-Aircraft Incursion — Taiwan ADIZ","Nov 2025","30","fighter","TRUE","24.5","118.6","PLAAF Eastern Theater — Fujian Province","Longtian, Shengtoushan airbases","24.2","121.5","Taiwan Air Defense Identification Zone","Record-breaking PLA incursion","PLAAF and PLAN aviation conducted record 103-aircraft incursion into Taiwan's ADIZ over 24 hours including H-6K nuclear-capable bombers, J-20 stealth fighters, J-16 strike fighters, and Y-8 ELINT. ROC Air Force scrambled 66 fighters. Timed to US preoccupation with Iran/Venezuela operations — deliberate signal probing US capacity for simultaneous contingency management.","The 103-aircraft incursion exceeded the prior record of 56 aircraft. Timing during US-Iran/Venezuela operations is a deliberate signal that China is probing US capacity to simultaneously manage a Taiwan contingency alongside active Middle East and Caribbean operations. H-6K inclusion is a direct nuclear signaling component.","PLAAF + PLAN aviation — H-6K bomber; J-20 stealth; J-16; Y-8 ELINT","Nuclear-capable H-6K bombs + conventional PGMs + ship-borne weapons","103 aircraft over 24 hours","Various","Taiwan Air Defense Identification Zone","N/A — air power demonstration","0","0","0","0","","103","0","Record ADIZ incursion; ROC scrambled 66 fighters; USS Ronald Reagan repositioned to Philippine Sea","","","","Timing during US-Iran/Venezuela operations is deliberate signal probing US capacity for simultaneous Taiwan contingency; H-6K inclusion is direct nuclear signaling; exceeds prior record of 56 aircraft","Taiwan MND (ADIZ tracker)|https://www.mnd.gov.tw","Reuters|https://www.reuters.com; Reuters|https://www.reuters.com; Defense News|https://www.defensenews.com","CSIS|https://www.csis.org; RAND|https://www.rand.org","103 AIRCRAFT; H-6K BOMBER; TAIWAN ADIZ; NUCLEAR SIGNAL; RECORD INCURSION","red;red;cyan;gold;red","FALSE","FALSE","FALSE","FALSE"
"gz-oct7-hamas","Op. Swords of Iron","#ab47bc","Hamas Gaza Assault: Oct 7 2023","Oct 7 2023","-60","sof","TRUE","31.52","34.46","Gaza Strip — Hamas stronghold","Al-Qassam Brigades","31.55","34.58","Israel — Southern Israel","Border communities","Hamas militants launched a surprise multi-pronged assault from Gaza into southern Israel on Oct 7, 2023, combining mass rocket fire with infantry infiltration via tunnels, motorcycles, and paragliders. Armed fighters overran several Israeli border towns and military posts, resulting in ~1,200 Israeli soldiers and civilians killed and ~240 taken hostage (Israeli figures). The attack included use of drones and anti-tank missiles. The breach of defenses prompted Israel to declare war and initiate a major ground and air offensive in Gaza. The operation revealed significant planning by Hamas and exposed failures in Israeli preparedness.","The Oct 7 attack exposed catastrophic failures in Israeli intelligence and border security despite decades of investment. Hamas demonstrated sophisticated multi-domain coordination — rockets, infantry, drones, tunnels — overwhelming the vaunted Gaza Division in hours. The scale of civilian casualties transformed Israeli strategic calculus from deterrence-focused to elimination-focused.","Hamas al-Qassam Brigades","122mm Grad rockets; RPG-7; AK-47; paragliders","100+","5","Mixed civilian-military area","0","Unknown","1200","0","Hundreds of militants","","0","0","Hamas gained temporary control of border areas and took hostages; Israel mobilized for major retaliation","","","","Intelligence failure in surprise attack; Hamas used civilian vehicles and drones; Israel later improved defenses","H.I. Sutton (analysis of Hamas drones)|https://www.hisutton.com; MAPA_Map (infiltration routes)|https://twitter.com/mapa_map","Reuters (Hamas assault kills 1,200 Oct7 2023)|https://www.reuters.com; AP News (hostage and casualty details)|https://apnews.com","CSIS (Middle East crisis report Oct 2023)|https://www.csis.org; IISS (Eurasia Monthly Nov 2023)|https://www.iiss.org","GAZA; ISRAEL; HAMAS; ROCKET; TERRORISM; GROUND ASSAULT; CIVILIAN CASUALTIES","red;blue;red;orange;red;gold;red","FALSE","FALSE","TRUE","FALSE"
"gz-jabalia-nov23","Op. Swords of Iron","#ab47bc","IDF Strike: Jabalia Refugee Camp (Nov 2023)","Nov 1 2023","-58","fighter","TRUE","31.21","35.01","Israel — Nevatim AFB","IAF F-16I Sufa","31.53","34.47","Gaza — Jabalia","Refugee camp (residential)","The Israeli Air Force struck Jabalia refugee camp in Gaza on Nov 1, 2023, targeting a Hamas command center inside multi-story buildings. IAF F-16I jets dropped GBU-39 small diameter bombs onto the sites. Palestinian officials said around 50 people were killed, including a senior Hamas commander. Israel said it was hitting Hamas infrastructure used for rocket launches. The high civilian toll drew condemnation from aid groups. The strike was framed as retaliation for Hamas attacks and a demonstration of Israel's intent to dismantle Hamas leadership.","The Jabalia strike exemplified the tension between precision targeting of Hamas leadership in dense urban environments and the resulting civilian toll. Use of SDB munitions in refugee camp settings drew international condemnation and fueled debates about proportionality in urban warfare.","IAF F-16I Sufa strike package","GBU-39 SDB precision bombs","Multiple","800","Residential area","0","0","1","49","0","0","2","0","Hamas infrastructure damaged; significant civilian casualties","","","","Use of bunker-busting SDB in urban area; entire families reported among dead; first use of this tactic in Gaza war","Bellingcat (geolocation & damage analysis)|https://www.bellingcat.com; Maxar (before-after imagery)|https://www.maxar.com","Reuters (Nov1 2023 strike kills ~50)|https://www.reuters.com; BBC News (strike report)|https://www.bbc.com","ICRC (Gaza conflict summary Nov2023)|https://www.icrc.org; IISS (Middle East security report)|https://www.iiss.org","GAZA; PALESTINE; ISRAEL; IAF F-16; JABALIA; CIVILIAN CASUALTIES; PRECISION STRIKE; WAR CRIME ALLEGATION","red;red;blue;purple;orange;red;blue;gold","TRUE","FALSE","FALSE","TRUE"
