"incident_id","operation_name","incident_title","date","incident_type","strike_type","confirmed","origin_lat","origin_lng","origin_label","origin_sublabel","target_lat","target_lng","target_label","target_sublabel","summary","target_type","platform_or_unit","result_outcome","tags","source_type","is_retaliation","is_covert","is_first_use","disputed"
"ef-main","Op. Epic Fury","Op. Epic Fury: Opening Strike Package","Feb 28 2026","strike","bomber","TRUE","-7.32","72.42","Diego Garcia + Naval Gulf/Red Sea","B-2s + 13 Arleigh Burke destroyers","35.0","51.0","Iran — Military & Nuclear Infrastructure","900+ strikes in first 12 hours","Follow-on campaign to Midnight Hammer. 900+ strikes in first 12 hours — largest US air campaign since 2003 Iraq invasion. Target set: IRGC command; ballistic missile infrastructure; naval assets; air defense; leadership. B-2s from Diego Garcia + 13 Arleigh Burke destroyers. Weapons: GBU-57; TLAM; PrSM; HIMARS; JDAM; SDB. 555+ Iranian civilians killed (Iranian Red Crescent). 3 US KIA from Iranian counter-strike in Kuwait.","Nuclear remnants; IRGC; ballistic missile infrastructure; naval; leadership","B-2 Spirit + Arleigh Burke DDG + HIMARS + F-15E + F-35","Nuclear/military infrastructure degraded; 3 US KIA from Iranian counter","900 STRIKES/12HR; EPIC FURY D1; B-2+NAVAL; 3 US KIA","curated","FALSE","FALSE","FALSE","FALSE"
"ef-prsm","Op. Epic Fury","PrSM Combat Debut: Kuwait → Iran","Feb 28 2026","strike","missile","TRUE","29.5","47.6","US Army HIMARS/M270 Kuwait","PrSM Precision Strike Missile launchers","32.4","50.5","Western Iran — Military Targets","IRGC bases, missile storage","PrSM (Precision Strike Missile) made its combat debut launched from US Army HIMARS and M270 platforms in Kuwait. Successor to ATACMS with range 499+ km. GPS/INS/terminal seeker guidance. Mach 6+ terminal velocity. Generational leap in US ground-based precision strike. Demonstrates long-range fires capability to China and North Korea.","IRGC bases / missile storage","M270A2 MLRS + HIMARS","IRGC targets struck — first PrSM combat use","PrSM DEBUT; COMBAT FIRST; HIMARS; KUWAIT; 499KM RANGE","curated","FALSE","FALSE","TRUE","FALSE"
"ef-nawab","Op. Epic Fury","Tomahawk Saturation: 13 Destroyers","Feb 28 2026","strike","missile","TRUE","26.5","56.0","US Navy Strait of Hormuz / Persian Gulf","13 Arleigh Burke-class destroyers","33.5","48.5","Iranian Military Targets Multiple","IRGC, C2, missiles, air defense","Tomahawk saturation from 13 Arleigh Burke DDGs. Each carries up to 96 TLAMs (theoretical max ~1248 total). Largest TLAM volley since Operation Iraqi Freedom 2003. Targets: IRGC Quds Force bases; missile production; air defense; C2 nodes.","C2, missile production, air defense, IRGCN","Arleigh Burke-class DDG (×13)","Iranian military infrastructure degraded","13 DESTROYERS; TOMAHAWK; VLS SATURATION; LARGEST SINCE 2003","curated","FALSE","FALSE","FALSE","FALSE"
"ef-minab","Op. Epic Fury","Minab Strike — Worst Single Incident (148 Killed)","Feb–Mar 2026","strike","nuke","FALSE","26.8","57.5","Origin disputed","Attribution contested","27.09","57.05","Minab Hormozgan Province Iran","148 civilians killed","Strike on Minab resulted in 148 deaths — single deadliest incident of the entire campaign. Total Iranian civilian casualties: 555+ (Iranian Red Crescent). Cited at emergency UN Security Council meeting. Attribution contested — US/Israel deny deliberate civilian targeting.","Civilian area (school)","Unknown — disputed","148 civilians killed; worst single incident","148 KILLED; CIVILIAN STRIKE; 555+ TOTAL CIVN; DISPUTED","curated","TRUE","FALSE","FALSE","TRUE"
"rl-khamenei","Op. Roaring Lion","Op. Roaring Lion: Khamenei Eliminated","Feb 28 2026","strike","sof","TRUE","32.5","36.0","CIA / Mossad Joint Intelligence Operation","Months of tracking — location classified","35.65","51.4","Tehran — Underground Bunker","Supreme Leader Ali Khamenei","CIA and Mossad joint operation to eliminate Iranian Supreme Leader Khamenei. CIA tracked him for months. He hid in underground bunker; officials meeting him were required to do so blindfolded to prevent disclosure of location. CIA penetration of security apparatus enabled precise location. Killed by precision airstrike Feb 28 2026. Triggered Iranian regime crisis and emergency UNSC session.","Underground bunker — VIP HQ","CIA + Mossad (joint) — airstrike","Khamenei KILLED — Iranian regime crisis triggered","KHAMENEI KILLED; CIA+MOSSAD; SUPREME LEADER; REGIME CRISIS","curated","FALSE","TRUE","FALSE","FALSE"
"rl-commanders","Op. Roaring Lion","Opening Salvo: 40 Senior IRGC Commanders Killed","Feb 28 2026","strike","fighter","TRUE","31.9","35.0","Israel + US Coordinated Strike","Air + intelligence convergence","35.5","51.1","Tehran + IRGC Command Nodes","C2 HQs, residences, safe houses","40 senior IRGC commanders eliminated simultaneously in opening salvo of Epic Fury / Roaring Lion. Largest single military leadership decapitation in modern warfare history. Simultaneous execution prevented warning spreading between targets.","Command and control / leadership residences","US + Israeli air assets (coordinated)","40 senior commanders killed — IRGC command chain decapitated","40 COMMANDERS; SIMULTANEOUS; OPENING SALVO; UNPRECEDENTED","curated","FALSE","FALSE","FALSE","FALSE"
"ir-gcc","Iran Retaliation","Iranian Barrage: UAE & Saudi Arabia — 708 Intercepted","March 2026","strike","retaliation","TRUE","31.5","50.8","Iran — Missile/Drone Launch Sites","IRGC Aerospace Force","24.4","54.0","UAE + Saudi Arabia","Critical infrastructure targets","Largest Iranian retaliatory strike: 165 ballistic missiles + 2 cruise missiles + 541 drones fired at UAE and Saudi Arabia. GCC air defenses (Patriot PAC-3; THAAD; Arrow-3; Iron Dome; Tor M1) claimed full intercept. Largest air defense battle in recorded history.","Critical infrastructure — UAE and Saudi Arabia","IRGC Aerospace Force","All munitions intercepted (claimed)","165 BALLISTIC MISSILES; 541 DRONES; ALL INTERCEPTED; LARGEST EVER","curated","TRUE","FALSE","FALSE","FALSE"
"ir-hormuz","Iran Retaliation","Hormuz Crisis: -70% Tanker Traffic Collapse","March 2026","strike","naval","TRUE","27.3","56.5","IRGCN / Iran — Bandar Abbas","Mining + missile threat","26.6","56.3","Strait of Hormuz","Global oil chokepoint","Iran threatened Strait of Hormuz via IRGCN fast-boat harassment; mine-laying; anti-ship missile threats. Tanker traffic collapsed 70%. 150+ ships anchored outside strait. Brent crude +9% to $79.45 (intraday +12-13%). War-risk insurance +50%. Qatar LNG facilities struck; production halted.","Shipping lanes — Strait of Hormuz","IRGCN fast boats + mine-laying assets + anti-ship missiles","De-facto blockade — tanker traffic -70%","-70% TRAFFIC; 20% GLOBAL OIL; $79.45 BRENT; QATAR LNG HIT","curated","TRUE","FALSE","FALSE","FALSE"
"ir-proxies","Iran Retaliation","Iran Proxy Network Activates: Iraq + Lebanon + Yemen","Feb–Mar 2026","strike","retaliation","TRUE","33.3","44.4","Iran Proxy Network Iraq/Lebanon/Yemen","PMF, Hezbollah, Houthi","31.5","35.5","Regional US/Israeli Targets","Bases, shipping, Israeli cities","Iran activated full proxy network simultaneously: Iraqi PMF; Lebanese Hezbollah; Yemeni Houthi declared readiness to respond to US-Israeli strikes. Three-front simultaneous activation — Iran's asymmetric deterrent answer to losing conventional military exchange.","US bases / Israeli cities / shipping lanes","PMF Iraq + Hezbollah Lebanon + Houthi Yemen (all Iran-backed)","3-front proxy activation — US/Israeli forces threatened across region","3-FRONT PROXY; PMF IRAQ; HEZBOLLAH; HOUTHI; ASYMMETRIC","curated","TRUE","FALSE","FALSE","FALSE"
"ir-houthi","Houthi / Proxies","Houthi Red Sea Activation: New Attack Warning","2025–2026","strike","missile","FALSE","15.36","44.19","Yemen — Houthi-Controlled Territory","Saada + Hodeidah launch sites","14.5","42.5","Red Sea Shipping Lanes","Global commercial shipping","Iran-backed Houthi forces warned of new Red Sea attacks in response to US-Israeli strikes on Iran. Previously disrupted global shipping via anti-ship missiles and drone attacks (80+ ships hit since Nov 2023). New activation threatened dual chokepoint — Hormuz + Bab el-Mandeb simultaneously.","Commercial shipping — Red Sea","Houthi (Ansar Allah) — Iran-backed","Ongoing threat — Red Sea traffic disrupted","RED SEA; HOUTHI; BAB EL-MANDEB; DUAL CHOKEPOINT","curated","TRUE","FALSE","FALSE","FALSE"
"scs-carrier","China SCS Operations","PLAN Carrier Strike Group: Spratlys Show-of-Force","Mar–Apr 2025","strike","maritime","TRUE","20.0","110.35","Hainan Island — PLAN Yulin Naval Base","Sanya — Southern Theater Command HQ","11.5","114.5","Spratly Islands — Fiery Cross Reef","PLAN artificial island air/naval base","PLA Navy Shandong carrier strike group conducted extended operations in and around the Spratly Islands centered on Fiery Cross Reef. Demonstrated China's increasing ability to project naval power throughout the contested SCS and pressure Philippine and Vietnamese claimants simultaneously. J-15 carrier aircraft conducted air defense exercises over disputed maritime zones.","Disputed maritime zone — Spratly Islands","CV-17 Shandong (Type 001A) + 2× Type 055 + 4× Type 052D + 1× Type 093 SSN","~14 days extended operations; J-15 exercises over Spratlys; PHL BRP Jose Rizal + P-3C deployed in response","SHANDONG CSG; SPRATLYS; SHOW OF FORCE; FIERY CROSS","curated","FALSE","FALSE","FALSE","FALSE"
"scs-scarborough","China SCS Operations","CCG Mass Blockade: Scarborough Shoal (Philippines)","May–Jun 2025","strike","maritime","TRUE","21.5","114.0","China Coast Guard — Southern Theater","CMSLE fleet — Guangdong District","15.13","117.77","Scarborough Shoal (Bajo de Masinloc)","Philippine EEZ — 200nm from Luzon","China Coast Guard deployed up to 40 vessels simultaneously to enforce de-facto blockade of Scarborough Shoal. CCG vessels used water cannons, sound devices, and laser blinding against Philippine Coast Guard ships. Prevented Filipino fishermen from accessing traditional fishing grounds inside Philippine EEZ. 2016 PCA tribunal ruled China has no legal basis for claims.","Maritime zone — Scarborough Shoal","China Coast Guard (CCG) — up to 40 vessels","CCG blockade sustained; Filipino fishermen excluded; FONOPS conducted by USN","40 CCG VESSELS; WATER CANNON; SCARBOROUGH SHOAL; GRAY-ZONE","curated","FALSE","FALSE","FALSE","FALSE"
"scs-second-thomas","China SCS Operations","Second Thomas Shoal: Resupply Interdiction Escalates","Aug–Sep 2025","strike","maritime","TRUE","17.0","116.5","China Coast Guard + PAFMM","People's Armed Forces Maritime Militia","9.73","115.52","Second Thomas Shoal (Ayungin Shoal)","BRP Sierra Madre — PHL military outpost","CCG and PAFMM conducted systematic interdiction of Philippine military resupply missions to BRP Sierra Madre — a deliberately grounded WWII-era ship serving as PHL military outpost. CCG used water cannons, sound devices, and in at least one incident directed-energy weapons. Philippine sailors injured. Shoal sits within Philippine EEZ and was ruled PHL sovereign territory by 2016 PCA tribunal.","PHL military outpost — BRP Sierra Madre","China Coast Guard (CCG) + PAFMM militia fishing vessels (100+)","Ongoing interdiction — resupply missions harassed; BRP Sierra Madre deteriorating","DEW ATTACK; BRP SIERRA MADRE; PAFMM; PHL EEZ; SECOND THOMAS","curated","FALSE","FALSE","FALSE","FALSE"
"scs-fonops","China SCS Operations","USS [DDG] FONOP: China Intercepts with J-16 Fighter","Oct 2025","strike","naval","TRUE","21.0","128.0","US Navy 7th Fleet","USS [DDG-class] — Freedom of Navigation","15.5","114.3","Spratly Islands — Disputed Waters","Within 12nm of PLA-constructed island","US Navy Arleigh Burke DDG conducted FONOP within 12nm of PLA-constructed artificial island asserting China's straight baselines are unlawful under UNCLOS. PLAAF J-16 Flanker-D fighters intercepted the destroyer conducting unsafe maneuvers at close distance. PLAAF has conducted 180+ unsafe intercepts of US and allied aircraft since 2021.","Freedom of navigation — disputed maritime zone","Arleigh Burke-class DDG (US 7th Fleet)","FONOP completed; UNCLOS rights asserted","FONOP; J-16 INTERCEPT; UNCLOS; 7TH FLEET; UNSAFE INTERCEPT","curated","FALSE","FALSE","FALSE","FALSE"
"scs-island-build","China SCS Operations","PLA Island Upgrades: Mischief Reef Expansion","2025 Ongoing","strike","island","TRUE","9.9","115.5","PLAN — Construction Vessels / Dredgers","Southern Theater Command","9.9","115.53","Mischief Reef Spratly Islands","PHL EEZ — 250km from Palawan","CSIS AMTI satellite monitoring confirmed continued expansion and hardening of PLA installations at Mischief Reef in 2025. Additional aircraft hangar construction; upgrade of missile launcher positions; deployment of additional coastal defense cruise missile (CDCM) batteries. Mischief Reef sits within Philippine EEZ 250km from Palawan. 2016 PCA tribunal ruled PLA occupation unlawful.","Artificial island military base — Philippine EEZ","PLAN construction vessels + Southern Theater Command garrison","Expanded military infrastructure — CDCM and SAM deployed","MISCHIEF REEF; CDCM DEPLOYED; ILLEGAL OCCUPATION; PHL EEZ; YJ-12B","curated","FALSE","FALSE","FALSE","FALSE"
"scs-taiwan-strait","China SCS Operations","PLAAF: 103-Aircraft Incursion — Taiwan ADIZ","Nov 2025","strike","fighter","TRUE","24.5","118.6","PLAAF Eastern Theater — Fujian Province","Longtian, Shengtoushan airbases","24.2","121.5","Taiwan Air Defense Identification Zone","Record-breaking PLA incursion","PLAAF and PLAN aviation conducted record 103-aircraft incursion into Taiwan's ADIZ over 24 hours including H-6K nuclear-capable bombers, J-20 stealth fighters, J-16 strike fighters, and Y-8 ELINT. ROC Air Force scrambled 66 fighters. Timed to US preoccupation with Iran/Venezuela operations — deliberate signal probing US capacity for simultaneous contingency management.","Taiwan Air Defense Identification Zone","PLAAF + PLAN aviation — H-6K bomber; J-20 stealth; J-16; Y-8 ELINT","Record ADIZ incursion; ROC scrambled 66 fighters; USS Ronald Reagan repositioned to Philippine Sea","103 AIRCRAFT; H-6K BOMBER; TAIWAN ADIZ; NUCLEAR SIGNAL; RECORD INCURSION","curated","FALSE","FALSE","FALSE","FALSE"
"gz-oct7-hamas","Op. Swords of Iron","Hamas Gaza Assault: Oct 7 2023","Oct 7 2023","strike","sof","TRUE","31.52","34.46","Gaza Strip — Hamas stronghold","Al-Qassam Brigades","31.55","34.58","Israel — Southern Israel","Border communities","Hamas militants launched a surprise multi-pronged assault from Gaza into southern Israel on Oct 7, 2023, combining mass rocket fire with infantry infiltration via tunnels, motorcycles, and paragliders. Armed fighters overran several Israeli border towns and military posts, resulting in ~1,200 Israeli soldiers and civilians killed and ~240 taken hostage (Israeli figures). The attack included use of drones and anti-tank missiles. The breach of defenses prompted Israel to declare war and initiate a major ground and air offensive in Gaza. The operation revealed significant planning by Hamas and exposed failures in Israeli preparedness.","Mixed civilian-military area","Hamas al-Qassam Brigades","Hamas gained temporary control of border areas and took hostages; Israel mobilized for major retaliation","GAZA; ISRAEL; HAMAS; ROCKET; TERRORISM; GROUND ASSAULT; CIVILIAN CASUALTIES","curated","FALSE","FALSE","TRUE","FALSE"
"gz-jabalia-nov23","Op. Swords of Iron","IDF Strike: Jabalia Refugee Camp (Nov 2023)","Nov 1 2023","strike","fighter","TRUE","31.21","35.01","Israel — Nevatim AFB","IAF F-16I Sufa","31.53","34.47","Gaza — Jabalia","Refugee camp (residential)","The Israeli Air Force struck Jabalia refugee camp in Gaza on Nov 1, 2023, targeting a Hamas command center inside multi-story buildings. IAF F-16I jets dropped GBU-39 small diameter bombs onto the sites. Palestinian officials said around 50 people were killed, including a senior Hamas commander. Israel said it was hitting Hamas infrastructure used for rocket launches. The high civilian toll drew condemnation from aid groups. The strike was framed as retaliation for Hamas attacks and a demonstration of Israel's intent to dismantle Hamas leadership.","Residential area","IAF F-16I Sufa strike package","Hamas infrastructure damaged; significant civilian casualties","GAZA; PALESTINE; ISRAEL; IAF F-16; JABALIA; CIVILIAN CASUALTIES; PRECISION STRIKE; WAR CRIME ALLEGATION","curated","TRUE","FALSE","FALSE","TRUE"
"ua-kursk-incursion","Russia-Ukraine War","Ukrainian Assault: Sudzha (Kursk Front)","Aug 7–14 2024","strike","sof","TRUE","51.00","33.50","Ukraine — border crossing area","Sumy Oblast staging","51.19","35.27","Russia — Kursk region","Sudja town and border crossing","Ukrainian forces launched a surprise cross-border offensive into Russia's Kursk region on Aug 7–14 2024, seizing over 1,000 sq km including the town of Sudzha. The raid involved mechanized infantry and artillery, reportedly capturing ~100 Russian POWs. Kyiv said the operation aimed to push the front westward; Russia counterattacked in late 2024 to expel the incursion. This was the first major Ukrainian operation deep in pre-2022 Russian territory, altering battle lines and spurring Moscow to vow retaliation.","Urban area","Ukrainian Ground Forces","Ukrainian foothold established; largely retaken by Russia by 2025","UKRAINE; RUSSIA; KURSK; SUDZHA; GROUND ASSAULT; CROSS-BORDER","curated","FALSE","FALSE","FALSE","FALSE"
"ua-kursk-stormshadow","Russia-Ukraine War","Ukraine Storm Shadow Strike: Kursk","Nov 20 2024","strike","missile","TRUE","49.84","24.03","Ukraine — Lviv region","Ukrainian Air Force","51.72","36.18","Russia — Kursk region","Military command facility","Ukraine fired a salvo of British Storm Shadow cruise missiles into Russia's Kursk region on Nov 20, 2024, striking deep Russian military infrastructure. Russian sources reported at least 14 large explosions near a command post. Kyiv said it targeted rear command centers to disrupt Russian operations. This followed Ukraine's first ATACMS launch a day earlier, signaling an escalation. Russia condemned the use of Western long-range missiles as a major escalation and reportedly raised its nuclear alert level.","Military installation","Ukrainian Air Force","Russian command post reportedly damaged; no confirmed casualties","UKRAINE; RUSSIA; STORM SHADOW; CRUISE MISSILE; KURSK; ESCALATION","curated","FALSE","FALSE","TRUE","FALSE"
"ir-damascus-embassy","Op. Northern Arrows","Israeli Airstrike: Iranian Embassy (Damascus)","Apr 1 2024","strike","fighter","TRUE","31.21","35.01","Israel — Nevatim AFB","IAF F-15I Ra'am","33.51","36.29","Syria — Damascus","Iranian consulate/embassy annex","Israeli warplanes bombed Iran's diplomatic compound in Damascus on Apr 1, 2024, killing seven Iranian IRGC advisers (including three senior Quds Force commanders). The strike destroyed a consular building adjacent to Iran's embassy. Tehran condemned it as a terrorist act and vowed retaliation. Israel did not comment, but sources later indicated the operation was enabled by Israeli satellite and drone surveillance. This was Israel's first strike on Iran's main diplomatic mission in Damascus, significantly escalating Tehran's war posture.","Diplomatic compound","IAF F-15I Ra'am fighter squadron","Iranian consulate building destroyed; 7 IRGC generals killed; Hezbollah condemned and threatened reprisal","IRAN;ISRAEL;DIPLOMATIC FACILITY;F-15I;IRGC COMMANDER;TARGETED STRIKE;WAR CRIMES","curated","TRUE","FALSE","TRUE","FALSE"
"ir-truepromise1","Op. Northern Arrows","Iranian Salvo: Drones & Missiles at Israel (True Promise I)","Apr 13 2024","strike","missile","TRUE","35.69","51.39","Iran — Tehran (IRGC Bases)","IRGC Aerospace Force","31.77","34.65","Israel — Central plains","Air defense battery & military base","Iran launched a coordinated barrage of over 200 drones and missiles at Israel on Apr 13-14, 2024, its first direct strike on Israeli territory. The IRGC fired dozens of ground-to-ground missiles (including >10 cruise missiles) and scores of kamikaze UAVs. Israeli air defenses intercepted most threats; only light damage and one injury were reported (a 7-year-old girl). Iran said the attack was retaliation for an Israeli strike on its Damascus consulate. The strike modestly degraded an Israeli military site, prompting vows of significant response by Israel and international calls to contain escalation.","Military installation","IRGC Aerospace Force (Quds drones battalion)","One Israeli radar array lightly damaged, infrastructure largely intact; 99% of projectiles intercepted","purple;red;blue;blue;gold","curated","FALSE","TRUE","FALSE",""
"lb-haifa-pager","Op. Northern Arrows","Hezbollah Rocket Salvo: Haifa Military Complex","Sep 22 2024","strike","missile","TRUE","33.27","35.20","Lebanon — South Lebanon border","Hezbollah missile battalion","32.82","34.99","Israel — Haifa","Haifa military industry site","Lebanon's Hezbollah launched rockets at Haifa on Sept 22, 2024, saying it targeted an Israeli military industry complex. The strike was in response to Israeli operations (the pager comms raid) against Hezbollah command nodes. No casualties were reported. Satellite and press analysis suggest a mix of mid-range rockets were fired from southern Lebanon. The attack marked a clear Hezbollah escalation into Israeli urban-industrial areas, increasing pressure on Israel's homeland defense. Israel later denied damage and stressed interception success.","Military-industrial facility","Hezbollah rocket units","Confirmed rocket impacts near Haifa arms factory; no reported casualties","LEBANON;ISRAEL;FATEH-110;ROCKET;HAIFA;MILITARY COMPLEX","curated","TRUE","FALSE","FALSE","FALSE"
