incident_id,operation_name,operation_color,incident_title,date,date_sort_value,strike_type,confirmed,origin_lat,origin_lng,origin_label,origin_sublabel,target_lat,target_lng,target_label,target_sublabel,summary,assessment,platform_or_unit,munitions_weapons,munitions_quantity,range_km,target_type,target_depth_hardening,military_kia_friendly,military_kia_enemy,civilian_kia,military_wia_friendly,personnel_deployed,aircraft_deployed,naval_vessels,result_outcome,nuclear_setback_assessment,economic_impact,intercepted_munitions,key_intelligence_notes,osint_sources,press_sources,think_tank_sources,tags,badge_colors,is_retaliation,is_covert,is_first_use,disputed,source_type
tw-20230623111001-russia-russia,Russia-Ukraine War,#b71c1c,Wagner Group chief Prigozhin has called on Russian soldiers from the National…,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Wagner Group chief Prigozhin has called on Russian soldiers from the National Guard to join his side,,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623121501-moscow-russia,Russia-Ukraine War,#b71c1c,Senior American intelligence official tells Jim LaPorta,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,55.75,37.62,Moscow,,"Senior American intelligence official tells Jim LaPorta, a reporter at The Messenger, that Wagner Group is preparing to mobilize and it is believed they want to 'head towards Moscow'",,,,,,Naval facility,,0,0,0,0,,,,,,,,,,,,MOSCOW;RU;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623121501-moscow-unk,Independent Actions,#546e7a,Military build-up in Moscow is continuing to intensify,"Jun 23, 2023",-60,strike,TRUE,,,,,55.75,37.62,Moscow,,"Military build-up in Moscow is continuing to intensify, as footage shows armoured vehicles moving towards the Kremlin and the headquarters of the Ministry of Defense.",,,,,,Military base / C2,,0,0,0,0,,,,,,,,,,,,MOSCOW;RU;STRIKE,red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623123501-russia-russia,Russia-Ukraine War,#b71c1c,Wagner Group chief Prigozhin says border guards were hugging his fighters on way…,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,"Wagner Group chief Prigozhin says border guards were hugging his fighters on way into Russia, his forces will 'destroy everything in the way'.",,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623125001-russia-russia,Russia-Ukraine War,#b71c1c,Wagner Group chief says the Chief of the General Staff of the Russian military…,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Wagner Group chief says the Chief of the General Staff of the Russian military has given the order to use helicopters and fire on Wagner columns,,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623125001-russia-russia-1,Russia-Ukraine War,#b71c1c,Wagner Group chief Prigozhin says Russian helicopter pilots refused to carry out…,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Wagner Group chief Prigozhin says Russian helicopter pilots refused to carry out orders to attack Wagner columns,,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623131001-russia-russia,Russia-Ukraine War,#b71c1c,RUSSIA-WAGNER - Wagner Group's chief Prigozhin claims his forces were attacked by…,"Jun 23, 2023",-60,naval,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,"RUSSIA-WAGNER - Wagner Group's chief Prigozhin claims his forces were attacked by Russian military, vows to march and remove leadership. - Russia enhanced security in Moscow and called for the arrest ",,Naval Vessel,,,,Naval vessel,,0,0,0,0,,,,,,,,,,,,NAVAL;RU;RUSSIA;RUSSIA-UKRAINE-WAR;US,op;teal,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623134001-russia-russia,Russia-Ukraine War,#b71c1c,Wagner chief Prigozhin says he is after Defense Minister Shoigu for 'destroying a…,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Wagner chief Prigozhin says he is after Defense Minister Shoigu for 'destroying a hundred thousand Russian soldiers',,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623134001-russia-russia-1,Russia-Ukraine War,#b71c1c,Footage reportedly showing Wagner vehicles on the road towards Rostov,"Jun 23, 2023",-60,strike,FALSE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,"Footage reportedly showing Wagner vehicles on the road towards Rostov, Russia.",,,,,,Naval facility,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,TRUE,enriched
tw-20230623141501-russia-russia,Russia-Ukraine War,#b71c1c,Wagner Group chief Prigozhin claims his fighters have shot down a Russian helicopter,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Wagner Group chief Prigozhin claims his fighters have shot down a Russian helicopter,,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623143001-russia-russia,Russia-Ukraine War,#b71c1c,Footage reportedly showing clashes between Wagner Group forces and Russian…,"Jun 23, 2023",-60,strike,FALSE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Footage reportedly showing clashes between Wagner Group forces and Russian military near Rostov,,,,,,Naval facility,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,TRUE,enriched
tw-20230623145000-russia-russia,Russia-Ukraine War,#b71c1c,Heavy helicopter activity over Rostov,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,"Heavy helicopter activity over Rostov, Russia, as Wagner Group forces advance towards it.",,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623152501-russia-russia,Russia-Ukraine War,#b71c1c,Footage of Wagner Group forces arriving at military headquarters in Rostov,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,"Footage of Wagner Group forces arriving at military headquarters in Rostov, Russia.",,,,,,Military base / C2,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623152502-russia-russia,Russia-Ukraine War,#b71c1c,Wagner Group forces arrive at military headquarters in Rostov,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,"Wagner Group forces arrive at military headquarters in Rostov, Russia.",,,,,,Military base / C2,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623154500-russia-russia,Russia-Ukraine War,#b71c1c,Wagner Group chief says Russia must be liberated from 'people who are killing…,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Wagner Group chief says Russia must be liberated from 'people who are killing civilians',,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623180001-russia-russia,Russia-Ukraine War,#b71c1c,Wagner's Prigozhin meets in Rostov military headquarters with Russia Deputy…,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,"Wagner's Prigozhin meets in Rostov military headquarters with Russia Deputy Defence Minister and Deputy Chief of Military Intelligence, demands to see Defense Minister Shoigu and Chief of the General ",,,,,,Military base / C2,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623182001-russia-russia,Russia-Ukraine War,#b71c1c,Russian security forces enter the headquarters of Wagner Group in St Petersburg,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Russian security forces enter the headquarters of Wagner Group in St Petersburg,,,,,,Military base / C2,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623183501-moscow-russia,Russia-Ukraine War,#b71c1c,Large Wagner Group column heads towards the Voronezh region,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,55.75,37.62,Moscow,,"Large Wagner Group column heads towards the Voronezh region, in the direction of Moscow.",,,,,,Military target,,0,0,0,0,,,,,,,,,,,,MOSCOW;RU;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623185501-russia-unk,Independent Actions,#546e7a,Reports that another Russian helicopter has been downed,"Jun 23, 2023",-60,strike,TRUE,,,,,61.52,105.32,Russia,,Reports that another Russian helicopter has been downed,,,,,,Naval facility,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;STRIKE,red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623192501-russia-russia,Russia-Ukraine War,#b71c1c,Russia's Ministry of Defence warns Wagner fighters against being part of an…,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,"Russia's Ministry of Defence warns Wagner fighters against being part of an 'armed coup', says they have been deceived by Prigozhin's 'criminal adventure'",,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623202001-russia-unk,Independent Actions,#546e7a,Putin says 'all relevant orders have been given to the Russian military,"Jun 23, 2023",-60,strike,TRUE,,,,,61.52,105.32,Russia,,Putin says 'all relevant orders have been given to the Russian military',,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;STRIKE,red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623204001-russia-russia,Russia-Ukraine War,#b71c1c,UK military intelligence says Wagner rebellion represents the 'most significant…,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,UK military intelligence says Wagner rebellion represents the 'most significant challenge to the Russian state in recent times',,,,,,Air defense / TEL,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623213001-russia-russia,Russia-Ukraine War,#b71c1c,Wagner-linked Telegram account says the trigger for the 'civil war' was Putin…,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Wagner-linked Telegram account says the trigger for the 'civil war' was Putin giving the order to 'neutralize the most combat-ready unit in Russia' for the sake of 'one or two traitors'.,,,,,,Air defense / TEL,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623213002-russia-russia,Russia-Ukraine War,#b71c1c,Russian air force has reportedly bombed Wagner vehicles on the strategic M4…,"Jun 23, 2023",-60,fighter,FALSE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Russian air force has reportedly bombed Wagner vehicles on the strategic M4 highway that leads to Moscow,,Multi-role Fighter Aircraft,,,,Naval facility,,0,0,0,0,,,,,,,,,,,,FIGHTER;RU;RUSSIA;RUSSIA-UKRAINE-WAR,op;blue,FALSE,FALSE,FALSE,TRUE,enriched
tw-20230623215001-russia-unk,Independent Actions,#546e7a,Photo of downed Russian helicopter in Voronezh region,"Jun 23, 2023",-60,strike,TRUE,,,,,61.52,105.32,Russia,,Photo of downed Russian helicopter in Voronezh region,,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;STRIKE,red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623230001-russia-unk,Independent Actions,#546e7a,Russian helicopter has bombed a fuel base in Voronezh,"Jun 23, 2023",-60,fighter,TRUE,,,,,61.52,105.32,Russia,,"Russian helicopter has bombed a fuel base in Voronezh, Russia.",,Multi-role Fighter Aircraft,,,,Military target,,0,0,0,0,,,,,,,,,,,,FIGHTER;RU;RUSSIA,blue,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623232001-russia-unk,Independent Actions,#546e7a,Poland puts military on high alert amid developments in Russia,"Jun 23, 2023",-60,strike,TRUE,,,,,61.52,105.32,Russia,,Poland puts military on high alert amid developments in Russia,,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;STRIKE,red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623235501-russia-russia,Russia-Ukraine War,#b71c1c,Wagner Group fighters are deploying anti-tank mines in Rostov,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,"Wagner Group fighters are deploying anti-tank mines in Rostov, Russia.",,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623235501-russia-unk,Independent Actions,#546e7a,People flee from explosion in Rostov,"Jun 23, 2023",-60,strike,TRUE,,,,,61.52,105.32,Russia,,"People flee from explosion in Rostov, Russia.",,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;STRIKE,red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230624020501-moscow-russia,Russia-Ukraine War,#b71c1c,"WAGNER REBELLION - Wagner forces are advancing through Lipetsk region, around 450…","Jun 24, 2023",-60,fighter,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,55.75,37.62,Moscow,,"WAGNER REBELLION - Wagner forces are advancing through Lipetsk region, around 450 kilometers from Moscow. - Russian air force has struck Wagner convoys and defensive positions are being set up around ",,Multi-role Fighter Aircraft,,,,Military target,,0,0,0,0,,,,,,,,,,,,FIGHTER;MOSCOW;RU;RUSSIA-UKRAINE-WAR,op;blue,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230624025500-bakhmut-russia,Russia-Ukraine War,#b71c1c,"PRIGOZHIN - Born 1st June, 1961 in Leningrad","Jun 24, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,48.6,38.0,Bakhmut,,"PRIGOZHIN - Born 1st June, 1961 in Leningrad. - In 1981, sentenced to twelve years imprisonment for robbery and fraud. - Began selling hot dogs in 1990 after early release from prison. - Expanded busi",,,,,,Military target,,0,0,0,0,,,,,,,,,,,,BAKHMUT;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE;UA;UKRAINE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230624063001-russia-russia,Russia-Ukraine War,#b71c1c,Wagner-linked Telegram account says the Russian state 'no longer exists' as Putin…,"Jun 24, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Wagner-linked Telegram account says the Russian state 'no longer exists' as Putin 'destroyed all institutions of statehood',,,,,,Air defense / TEL,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230624064501-russia-russia,Russia-Ukraine War,#b71c1c,Prigozhin says that his forces came within 200 kilometers of Moscow to avoid the…,"Jun 24, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,"Prigozhin says that his forces came within 200 kilometers of Moscow to avoid the dismantling of Wagner, will now turn back the convoys to avoid the spilling of Russian blood.",,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230624115001-russia-russia,Russia-Ukraine War,#b71c1c,Total of 15 personnel of the Russian military were killed in the clashes with the…,"Jun 24, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Total of 15 personnel of the Russian military were killed in the clashes with the Wagner Group.,,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230624204001-russia-russia,Russia-Ukraine War,#b71c1c,Telegram channel close to the Russian air force says that two airfields in Rostov…,"Jun 24, 2023",-60,fighter,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Telegram channel close to the Russian air force says that two airfields in Rostov region and an air force command post remain under the control of Wagner forces.,,Multi-role Fighter Aircraft,,,,Military base / C2,,0,0,0,0,,,,,,,,,,,,FIGHTER;RU;RUSSIA;RUSSIA-UKRAINE-WAR,op;blue,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230624205500-ukraine-russia,Russia-Ukraine War,#b71c1c,Russian military footage claiming to show high-precision strike on Ukrainian…,"Jun 24, 2023",-60,fighter,TRUE,50.45,30.52,Ukraine (UAF),Ukrainian Armed Forces,48.38,31.17,Ukraine,,Russian military footage claiming to show high-precision strike on Ukrainian ammunition stocks in Kupyansk.,,Multi-role Fighter Aircraft,,,,Military target,,0,0,0,0,,,,,,,,,,,,FIGHTER;RUSSIA-UKRAINE-WAR;UA;UKRAINE,op;blue,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230625013001-ukraine-russia,Russia-Ukraine War,#b71c1c,Putin says he is confident the country will realize its objectives related to the…,"Jun 25, 2023",-60,strike,TRUE,50.45,30.52,Ukraine (UAF),Ukrainian Armed Forces,48.38,31.17,Ukraine,,Putin says he is confident the country will realize its objectives related to the military operation in Ukraine,,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RUSSIA-UKRAINE-WAR;STRIKE;UA;UKRAINE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230626012000-ukraine-russia,Russia-Ukraine War,#b71c1c,Denmark says it has started training Ukrainian pilots on F-16 fighter jets,"Jun 26, 2023",-60,fighter,TRUE,50.45,30.52,Ukraine (UAF),Ukrainian Armed Forces,48.38,31.17,Ukraine,,Denmark says it has started training Ukrainian pilots on F-16 fighter jets,,F-16 Fighting Falcon,,,,Military target,,0,0,0,0,,,,,,,,,,,,FIGHTER;RUSSIA-UKRAINE-WAR;UA;UKRAINE,op;blue,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230626013501-pakistan-unk,Independent Actions,#546e7a,Pakistan set to put 102 people on trial in military court over violence linked to…,"Jun 26, 2023",-60,strike,TRUE,,,,,30.0,69.0,Pakistan,,Pakistan set to put 102 people on trial in military court over violence linked to the arrest of former PM Imran Khan,,,,,,Military target,,0,0,0,0,,,,,,,,,,,,PAKISTAN;PK;STRIKE,red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230626031501-russia-unk,Independent Actions,#546e7a,The AFP reports that nine civilians,"Jun 26, 2023",-60,fighter,TRUE,,,,,61.52,105.32,Russia,,"The AFP reports that nine civilians, including two children, killed in Russian airstrikes on a fruit and vegetable market in northwest Syria.",,Multi-role Fighter Aircraft,,,,Civilian infrastructure,,0,0,0,0,,,,,,,,,,,,FIGHTER;RU;RUSSIA,blue,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230626105001-ukraine-russia,Russia-Ukraine War,#b71c1c,The US will announce $500 million in additional military aid for Ukraine,"Jun 26, 2023",-60,strike,TRUE,50.45,30.52,Ukraine (UAF),Ukrainian Armed Forces,48.38,31.17,Ukraine,,The US will announce $500 million in additional military aid for Ukraine,,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RUSSIA-UKRAINE-WAR;STRIKE;UA;UKRAINE;US,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230626220001-russia-russia,Russia-Ukraine War,#b71c1c,Russia's security services announce dropping legal cases against Wagner Group…,"Jun 26, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Russia's security services announce dropping legal cases against Wagner Group fighters,,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230627064001-ukraine-russia,Russia-Ukraine War,#b71c1c,The Pentagon announces $500 million in new military aid for Ukraine,"Jun 27, 2023",-60,strike,TRUE,50.45,30.52,Ukraine (UAF),Ukrainian Armed Forces,48.38,31.17,Ukraine,,The Pentagon announces $500 million in new military aid for Ukraine,,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RUSSIA-UKRAINE-WAR;STRIKE;UA;UKRAINE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
