"incident_id","assessment","munitions_weapons","munitions_quantity","range_km","target_depth_hardening","military_kia_friendly","military_kia_enemy","civilian_kia","military_wia_friendly","personnel_deployed","aircraft_deployed","naval_vessels","nuclear_setback_assessment","economic_impact","intercepted_munitions","key_intelligence_notes","osint_sources","press_sources","think_tank_sources"
"ef-main","900 strikes on day one eclipsed Desert Storm's opening phase. Simultaneous targeting of nuclear remnants, IRGC command, ballistic missile infrastructure, and leadership in a single package represents a true effects-based campaign design.","GBU-57 MOP; BGM-109 Tomahawk; PrSM; JDAM; SDB; HIMARS GMLRS","900+ strikes in 12hrs","Various — up to 11000","Mixed surface and underground","3 KIA + 5 WIA (Kuwait — Iran counter)","Unknown","555+ (Iranian Red Crescent)","5","150000","150+","13","1–2 years (Pentagon); months (IAEA)","Brent crude +9% → $79.45; intraday +12–13%; war-risk insurance +50%","708 total (in GCC separate engagement)","UNSC emergency meeting convened; MATA tracked 100+ tankers 200+ cargo pre-positioned; Oliver Alexander 4-day F-22 warning","MATA|https://twitter.com/MT_Anderson; Oliver Alexander (OSINT)|https://twitter.com/OAlexanderDK; Washington Post (Feb 24 2026 buildup)|https://www.washingtonpost.com","The War Zone|https://www.thedrive.com/the-war-zone; Aerospace Global News|https://aerospacedefensenews.com; Air & Space Forces Magazine|https://www.airandspaceforces.com; FDD Action|https://www.fdd.org","CSIS|https://www.csis.org; FDD|https://www.fdd.org; Stimson Center|https://www.stimson.org; Critical Threats (AEI/ISW)|https://www.criticalthreats.org"
"ef-prsm","PrSM combat debut demonstrates US Army long-range fires capability to China and North Korea. Kuwait launch proves pre-positioned ground forces can supplement naval/air precision strike.","PrSM (Precision Strike Missile)","Classified","499+","Surface","0","0","0","0","","0","0","","","","First combat use of PrSM; demonstrates US Army long-range fires capability to China and North Korea; manufactured by Lockheed Martin","","The War Zone|https://www.thedrive.com/the-war-zone",""
"ef-nawab","Sheer volume of Tomahawk fire created a saturation challenge for Iranian air defenses, which had already been significantly degraded by the IDF 12-day campaign.","BGM-109 Tomahawk Block IV/V","Up to 1248 capacity","1600–1800","Surface","0","0","0","0","","0","13","","","","Each Arleigh Burke carries up to 96 Tomahawks in VLS; 13 ships = ~1248 theoretical capacity; largest TLAM volley since OIF 2003","","Military Times|https://www.militarytimes.com; The War Zone|https://www.thedrive.com/the-war-zone; Gulf News|https://gulfnews.com",""
"ef-minab","Whether the strike resulted from GPS drift, intelligence failure, or deliberate targeting remains disputed. The incident became the focal point for international condemnation and underscores the challenge of precision strikes in densely populated coastal areas.","","Unknown","","Surface","0","0","148","0","","","","","Brent crude impact","","Attribution contested — US/Israel deny deliberate civilian targeting; GPS drift or intelligence failure possible","","Air & Space Forces Magazine|https://www.airandspaceforces.com; UNSC Security Council Report|https://www.un.org/securitycouncil",""
"rl-khamenei","Khamenei's killing — Supreme Leader since 1989 — creates a succession crisis with no clear mechanism. CIA penetration of his security apparatus despite blindfolded-official protocols represents one of the most significant intelligence coups since Bin Laden.","Precision airstrike (type classified)","1","","Deep underground, extreme hardening","0","1 (Ayatollah Khamenei — Supreme Leader of Iran)","0","0","","1","0","","","","Iranian regime crisis post-kill; succession crisis — Guardian Council must select new Supreme Leader; Emergency UNSC session; officials met Khamenei blindfolded to prevent location disclosure","","CNN|https://www.cnn.com; The Week India|https://www.theweek.in; Geo.tv|https://www.geo.tv; The Word 360|https://theword360.com",""
"rl-commanders","Surpasses 18 Iraqi leaders killed in the opening hours of OIF. Required months of pre-positioned intelligence. Simultaneous execution was crucial — any warning would have allowed dispersion.","Precision airstrikes (PGMs)","40+ simultaneous","","Surface — multiple urban locations","0","40 senior IRGC commanders","0","0","","Multiple","0","","","","Most senior commanders killed simultaneously; surpasses 18 Iraqi leaders killed in opening hours of OIF; months of pre-positioned intelligence required","","Armed Forces Press|https://armedforcespress.com","Stimson Center|https://www.stimson.org"
"ir-gcc","708 munitions in a single engagement tests layered air defense with overwhelming volume — a tactic refined watching Russian drone warfare in Ukraine. The cost-exchange problem: Shahed-136 ~$20k vs Patriot PAC-3 ~$4M — attacker has strong economic advantage.","Ballistic missiles (Shahab/Qiam type); cruise missiles; Shahed-type drones","165 BM + 2 CM + 541 drones = 708 total","Various","Surface","0","0","0 (all intercepted)","0","","0","0","","Brent crude +9% → $79.45; intraday +12–13%","708 total intercepted (165 BM + 2 CM + 541 drones)","Largest air defense engagement in history; Shahed-136 costs ~$20000; Patriot PAC-3 costs ~$4M — cost-exchange asymmetry favors attacker","","Breaking Defense|https://breakingdefense.com; CNBC|https://www.cnbc.com","CFR|https://www.cfr.org"
"ir-hormuz","Worst global energy disruption since 1973 Arab oil embargo. Unlike prior Hormuz threats, active war context made the threat credible enough to collapse transits. Fertilizer impact creates downstream food price ripple 6–12 months later.","Mines; anti-ship missiles; fast-attack craft","Ongoing","","N/A — naval/maritime","0","0","0","0","","0","Multiple IRGCN vessels","","-70% tanker traffic; 150+ ships anchored outside Hormuz; Brent crude +9% → $79.45; intraday +12–13%; war-risk insurance +50%; Qatar LNG halted","","20% global petroleum transits Hormuz; 33% global fertilizer trade transits Hormuz; Qatar LNG hit halts key European alternative supply","","CNBC|https://www.cnbc.com; FreightWaves|https://www.freightwaves.com","The Conversation|https://theconversation.com"
"ir-proxies","Iran's proxy network is its primary insurance policy — a distributed asymmetric threat that survived the killing of Khamenei and destruction of the IRGC. The three-front activation represents Iran's strategic answer to losing the conventional exchange.","Mixed — rockets; missiles; drones; naval mines","Multiple ongoing","","Various","0","Unknown","Unknown","0","","0","0","","","","Iraqi PMF threatens US bases in Iraq/Kuwait/Jordan; Hezbollah poses mass rocket threat to Israeli cities; Houthi activates Bab el-Mandeb","","Fox News|https://www.foxnews.com","Soufan Center|https://thesoufancenter.org; Chatham House|https://www.chathamhouse.org"
"ir-houthi","Houthi Red Sea activation alongside Hormuz closure creates worst-case dual chokepoint. Cape of Good Hope rerouting adds 10–14 days and significant shipping costs.","Anti-ship ballistic missiles (Mach 3); Shahed-type drones; naval mines","Multiple ongoing","","N/A — open ocean","0","Unknown","Unknown","0","","0","Multiple Houthi vessels","","Rerouting via Cape of Good Hope adds 10–14 days to voyages; shipping cost spike; Bab el-Mandeb + Hormuz dual chokepoint created","","Prior campaign hit 80+ ships since Nov 2023; Houthi demonstrated resilience despite prior US strikes in Yemen","","FreightWaves|https://www.freightwaves.com","Soufan Center|https://thesoufancenter.org"
"scs-carrier","The Shandong CSG operation combined with the hardened Fiery Cross base creates a layered anti-access architecture that significantly complicates any US/Philippine military response. The J-15 exercises over the Spratlys asserted Chinese air dominance over disputed waters.","J-15B carrier fighters + Z-9 ASW helicopters + ship-borne weapons systems","Multiple sorties","","N/A — power projection","0","0","0","0","","Multiple J-15B","7","","","","Fiery Cross Reef: 3000m runway; hardened aircraft shelters; SAM systems; CDCM batteries; Shandong CSG combined with Fiery Cross base creates layered A2/AD architecture","CSIS AMTI (satellite surveillance)|https://amti.csis.org","USNI News|https://news.usni.org; Asia Times|https://asiatimes.com","CSIS AMTI|https://amti.csis.org"
"scs-scarborough","Scarborough Shoal blockade represents China's ""salami slicing"" gray-zone strategy — incremental coercion below the threshold of armed conflict. Each iteration of harassment normalizes the next level of coercion. The US-Philippines Mutual Defense Treaty (MDT) technically covers Philippine armed forces but has been deliberately not invoked for CCG-on-PCG harassment.","Water cannons; sound devices; laser dazzlers; physical blockade","Up to 40 vessels simultaneously","","N/A — gray-zone coercion","0","0","Multiple PCG sailors injured","","","0","40+","","Brent crude minimal impact; Philippine fisheries economic damage","","2016 PCA tribunal: China has NO legal basis for claims; blockade represents salami-slicing gray-zone strategy below armed conflict threshold; US-PHL MDT technically covers armed forces but not CCG-on-PCG harassment","CSIS AMTI (documentation)|https://amti.csis.org; @MT_Anderson|https://twitter.com/MT_Anderson","USNI News|https://news.usni.org; Benar News|https://www.benarnews.org","CSIS AMTI|https://amti.csis.org"
"scs-second-thomas","Second Thomas Shoal has become the most kinetically active gray-zone flashpoint in Asia. China's willingness to use directed-energy weapons against Philippine sailors marks an escalation from prior water-cannon-only harassment. The BRP Sierra Madre is deliberately kept in deteriorating condition by the Philippines to maintain a permanent physical presence — replacing it would require a Chinese decision to allow or physically block the operation.","Water cannons; sound devices; directed-energy weapon (DEW); physical ramming","Multiple ongoing resupply interdictions","","N/A — gray-zone coercion","0","0","Multiple Filipino sailors injured","","","0","Multiple CCG + 100+ PAFMM militia","","","","Second Thomas most kinetically active gray-zone flashpoint in Asia; DEW use marks escalation from water-cannon-only harassment; BRP Sierra Madre deliberately kept deteriorating to maintain physical presence","CSIS AMTI (incident tracker)|https://amti.csis.org; @MT_Anderson|https://twitter.com/MT_Anderson","Reuters|https://www.reuters.com; Foreign Policy|https://foreignpolicy.com","CSIS AMTI|https://amti.csis.org; Stimson Center|https://www.stimson.org"
"scs-fonops","The J-16 intercept was one of ~180+ unsafe intercepts the PLA has conducted since 2021. Each FONOP is legally necessary to prevent China's claims from becoming accepted by acquiescence. The PLA's response escalation from protests to physical intercepts represents a concerning trend toward possible miscalculation.","Ship-borne weapons (defensive posture only)","","12nm","N/A","0","0","0","0","","0","1 DDG + J-16 intercept","","","","180+ unsafe PLA intercepts of US/allied aircraft since 2021; FONOP legally necessary to prevent claims becoming accepted by acquiescence; J-16 conducted close unsafe maneuvers","CSIS AMTI|https://amti.csis.org","USNI News|https://news.usni.org; Defense News|https://www.defensenews.com","CSIS|https://www.csis.org"
"scs-island-build","Mischief Reef's strategic position in the Philippine EEZ, combined with its hardened military infrastructure, creates a persistent forward-deployed threat to the Philippines that effectively negates Philippine sovereign rights over the feature and its surrounding waters. The missile systems deployed can threaten Philippine and US naval vessels throughout the western Philippines.","YJ-12B CDCM (400km range ASCM); HQ-9B SAM system; garrison weapons","Ongoing construction","","Hardened above-surface installations","0","0","0","0","Garrison force","","Multiple construction vessels","","","","3000m runway capable of fighter/bomber operations; YJ-12B can threaten PHL and US naval vessels throughout western Philippines","CSIS AMTI (Planet Labs satellite monitoring)|https://www.planet.com","CSIS AMTI|https://amti.csis.org; Planet Labs|https://www.planet.com","CSIS AMTI|https://amti.csis.org"
"scs-taiwan-strait","The 103-aircraft incursion exceeded the prior record of 56 aircraft. Timing during US-Iran/Venezuela operations is a deliberate signal that China is probing US capacity to simultaneously manage a Taiwan contingency alongside active Middle East and Caribbean operations. H-6K inclusion is a direct nuclear signaling component.","Nuclear-capable H-6K bombs + conventional PGMs + ship-borne weapons","103 aircraft over 24 hours","Various","N/A — air power demonstration","0","0","0","0","","103","0","","","","Timing during US-Iran/Venezuela operations is deliberate signal probing US capacity for simultaneous Taiwan contingency; H-6K inclusion is direct nuclear signaling; exceeds prior record of 56 aircraft","Taiwan MND (ADIZ tracker)|https://www.mnd.gov.tw","Reuters|https://www.reuters.com; Reuters|https://www.reuters.com; Defense News|https://www.defensenews.com","CSIS|https://www.csis.org; RAND|https://www.rand.org"
"gz-oct7-hamas","The Oct 7 attack exposed catastrophic failures in Israeli intelligence and border security despite decades of investment. Hamas demonstrated sophisticated multi-domain coordination — rockets, infantry, drones, tunnels — overwhelming the vaunted Gaza Division in hours. The scale of civilian casualties transformed Israeli strategic calculus from deterrence-focused to elimination-focused.","122mm Grad rockets; RPG-7; AK-47; paragliders","100+","5","0","Unknown","1200","0","Hundreds of militants","","0","0","","","","Intelligence failure in surprise attack; Hamas used civilian vehicles and drones; Israel later improved defenses","H.I. Sutton (analysis of Hamas drones)|https://www.hisutton.com; MAPA_Map (infiltration routes)|https://twitter.com/mapa_map","Reuters (Hamas assault kills 1,200 Oct7 2023)|https://www.reuters.com; AP News (hostage and casualty details)|https://apnews.com","CSIS (Middle East crisis report Oct 2023)|https://www.csis.org; IISS (Eurasia Monthly Nov 2023)|https://www.iiss.org"
"gz-jabalia-nov23","The Jabalia strike exemplified the tension between precision targeting of Hamas leadership in dense urban environments and the resulting civilian toll. Use of SDB munitions in refugee camp settings drew international condemnation and fueled debates about proportionality in urban warfare.","GBU-39 SDB precision bombs","Multiple","800","0","0","1","49","0","0","2","0","","","","Use of bunker-busting SDB in urban area; entire families reported among dead; first use of this tactic in Gaza war","Bellingcat (geolocation & damage analysis)|https://www.bellingcat.com; Maxar (before-after imagery)|https://www.maxar.com","Reuters (Nov1 2023 strike kills ~50)|https://www.reuters.com; BBC News (strike report)|https://www.bbc.com","ICRC (Gaza conflict summary Nov2023)|https://www.icrc.org; IISS (Middle East security report)|https://www.iiss.org"
"ua-kursk-incursion","Ukraine's Kursk incursion was the first significant Ukrainian ground operation inside pre-2022 Russian territory, demonstrating operational surprise capability but ultimately unsustainable without reinforcement. Russia's subsequent recapture underscored the difficulty of holding territory deep in adversary rear areas.","2S7 Pion artillery; BM-27 Uragan MLRS","Unknown","","","Unknown","Unknown","0","0","Hundreds of troops","0","0","","","","Open-source imagery tracked progress in Sudzha; Zelenskiy hailed the strike; Putin denounced it as provocation","A_Cheon (Twitter OSINT)|https://twitter.com/A_Cheon; Planet Labs (Sudzha imagery)|https://www.planet.com","Reuters (Ukraine advances into Kursk Aug14 2024 / Russia retakes Kursk Apr8 2025)|https://www.reuters.com","ISW (Ukraine campaign map Aug 2024)|https://www.understandingwar.org; IISS (Military Balance 2025)|https://www.iiss.org"
"ua-kursk-stormshadow","The Storm Shadow strike marked the first combat use of UK-supplied cruise missiles against targets inside Russia. The escalation triggered Russian nuclear posture adjustments and set a precedent for Western long-range weapons employment that shaped subsequent US policy decisions.","Storm Shadow / SCALP-EG cruise missile","12","500","Hardened bunker","0","Unknown","0","0","0","Il-76 transport (missile pods)","0","Nuclear posture raised; strategic pressure on Russia increased","","","First combat use of UK Storm Shadow in Russian territory","Two Majors (Telegram missile debris)|https://t.me/twomajors; Planet Labs (impact imagery)|https://www.planet.com","Reuters (Storm Shadow strikes Kursk Nov 21 2024)|https://www.reuters.com; Al Jazeera (analysis)|https://www.aljazeera.com","IISS (Missile Warfare 2024)|https://www.iiss.org; CSIS (Ukraine strike reports)|https://www.csis.org"
"ir-damascus-embassy","","GBU-39 SDB; Mk-84 bombs","Unknown","800","Concrete (surface)","0","7","0","0","Unknown number of special forces support","4 (F-15I fighters)","0","0 — Iranian nuclear programme unaffected","None","0","Satellite imagery confirms destruction; Reuters and Iran UN mission statements; unprecedented direct hit on Iran's embassy","Maxar (after-action satellite imagery)|https://www.maxar.com; H.I. Sutton (analysis of munitions)|https://www.hisutton.com","Reuters (Apr 2 2024)|https://www.reuters.com; BBC (Damascus strike report)|https://www.bbc.com; Times of Israel|https://www.timesofisrael.com","CSIS (Middle East security brief)|https://www.csis.org; IISS (regional conflicts report)|https://www.iiss.org"
"ir-truepromise1","","Shahed-191 suicide drones; Zelzal-3 ballistic missiles; cruise missiles","300","1200","Hardened (bunker)","Unknown","Unknown","0","0","0","Multiple launch batteries","0","0 — Israeli nuclear and economic infrastructure spared","~99% of drones/missiles intercepted (Israel claim)","Pre-set salvo for G7 time; first IRGC strike inside Israel; US intelligence and cooperation credited","Maxar (landing debris imagery); Planet Labs (launch pad imagery)","Reuters (Apr13-14 2024)|https://www.reuters.com; AP News (intercept stats)|https://apnews.com; Jerusalem Post (IDF briefing)|https://www.jpost.com","IISS (missile threat assessment Apr2024)|https://www.iiss.org; CSIS (Iran strike analysis)|https://www.csis.org","IRAN; ISRAEL; MISSILE; DRONE; CRUISE MISSILE; GROUND-TO-GROUND; CIVILIAN INJURY"
"lb-haifa-pager","","Fateh-110 guided rocket (assessed)","6 (estimated)","100","Hardened (underground facility)","0","0","0","0","0","0","0","0 — no known warship or nuclear site involved","None","0","Hezbollah claimed precision targeting of weapons factory; OSINT imagery shows blast patterns; significant psychological impact in Haifa","Planet Labs (impact site imagery)|https://www.planet.com; Oryx (munition ID)|https://www.oryxspioenkop.com","Reuters (Sep 22 2024)|https://www.reuters.com; Times of Israel (analysis)|https://www.timesofisrael.com","IISS (Lebanon conflict tracker Sep2024)|https://www.iiss.org; CSIS (Hezbollah capabilities report)|https://www.csis.org"
"il-southern-lebanon-raid","","Infantry; IDF short-range rockets","Unknown","10","Field (mobile tents)","Unknown","Unknown","0","0","0","2 IDF infantry units","2 AH-64 Apache helicopters; 4 UAVs","Hezbollah small outposts hit; multiple antennas destroyed (IDF claim)","0 — no strategic escalation to nuclear threshold","None","0","Limited ops based on pinpoint intelligence; Israel signaled readiness for larger invasion; US alerts re Lebanon conflict","Maxar (before/after imagery of border strikes)|https://www.maxar.com; @phil_azhari (OSINT analysis)|https://twitter.com/phil_azhari","Reuters (Oct1 2024)|https://www.reuters.com; Israeli MoD statement"
"ir-truepromise2","","Shahab-3 and Fateh-110 ballistic missiles","~200","1500","None","0","0","0","0","0","0","0","0 — no nuclear or energy sites struck","0","~90% interception (IAF claim)","Satellite imagery shows impacts in open fields; US intel cited for defense success; triggered White House condemnations","Maxar (impact sites in Israel)|https://www.maxar.com; Planet Labs (launch signatures)|https://www.planet.com","Reuters (Oct1 2024)|https://www.reuters.com; NYT (White House reaction)|https://www.nytimes.com","IISS (Middle East conflict timeline)|https://www.iiss.org; Brookings (analyst commentary)|https://www.brookings.edu"
"il-strikes-iran","","GBU-31/BLU-109 JDAMs; GBU-28 bunker-busters","12+ (est.)","1300","Hardened bunkers","0","0","0","0","0","Dozens of fighter jets","0","0 — avoided nuclear sites (by US request)","$50M+ facilities (ballistic missile engines)","0","New precedent of Israel striking Iranian homeland; precise targeting (Kharg island, Parchin) noted; U.S. liaison confirmed attack","Planet Labs (damage at Parchin)|https://www.planet.com; H.I. Sutton (munitions analysis)|https://www.hisutton.com","Reuters (Oct26 2024)|https://www.reuters.com; AP (report on strikes)|https://apnews.com","IISS (Iran nuclear issue report 2024)|https://www.iiss.org; CSIS (Israeli strike analysis)|https://www.csis.org"
"lb-haifa-fadi","","Fadi-1 surface-to-surface missile","4","30","None","0","0","10","0","0","0","0","0 — no significant material loss","None","0","First time Hezbollah's guided rockets penetrated Haifa; video-confirmed impact (Reuters verified); IDF tracking trojan code signals","Planet Labs (Haifa blast site)|https://www.planet.com; Oryx (missile ID)|https://www.oryxspioenkop.com","Reuters (Oct7 2024)|https://www.reuters.com; IDF press release|https://www.idf.il; Times of Israel|https://www.timesofisrael.com","IISS (MENA analysis Oct2024)|https://www.iiss.org; CSIS (missile warfare report)|https://www.csis.org"
"ss-lucas-debut","LUCAS is the US answer to the drone cost-exchange asymmetry that has favored Iran and Russia throughout the 2020s. At $35,000 per unit versus $4M+ for a Patriot PAC-3 interceptor, the US is now fielding mass-scale expendable munitions at cost parity with adversary systems. The deliberate irony of using reverse-engineered Iranian drones against Iran was intentional — a symbolic and strategic message. LUCAS's Starlink-enabled swarm coordination represents a step-change beyond the simple fixed-target Shahed, enabling dynamic targeting and autonomous cooperative strikes. The combat debut 8 months after public unveiling is a compression of the normal US acquisition timeline, signaling a new doctrine of rapid fielding under wartime conditions.","LUCAS (Low-cost Unmanned Combat Attack System) — SpektreWorks FLM-136 derivative","Undisclosed (squadron-scale)","~800 km (estimated, based on Shahed-136 baseline ~2000 km range)","Surface — fixed military installations","0","Undisclosed","0","0","~15000 (total theater)","150+ (total theater)","13 DDGs (total theater)","N/A","Part of Brent +9% spike; broader Epic Fury economic impact","0 (offensive operation)","Reverse-engineered from captured Iranian Shahed-136; MUSIC mesh network enables swarm ops; Starlink terminals for dynamic targeting; Dec 2025 ship-launch test from USS Santa Barbara (LCS)","The War Zone (TFSS creation Dec 2025); DefenseScoop (LUCAS remains ready Mar 2026)","Military Times; Fox News; Task & Purpose; Reuters; Defense Scoop","Army Recognition; EurAsian Times; CSIS"
"ss-ship-launch-test","The combination of Task Force Scorpion Strike (land-based LUCAS) and Task Force 59 (sea-based autonomous systems) indicates CENTCOM is building an integrated, multi-domain drone strike network across the region. LCS vessels, previously criticized for limited combat utility, may find a new role as LUCAS launch platforms. Ship-based LUCAS deployment would enable strikes from sea approaches not covered by ground basing — significantly complicating Iranian targeting of launch sites.","LUCAS (one-way attack drone)","1 (test)","~800 km (estimated)","N/A","0","0","0","0","N/A","N/A","LCS USS Santa Barbara (LCS-32)","N/A","N/A","N/A","Adm. Brad Cooper confirmed via CENTCOM social media; linked to broader CENTCOM drone network with Task Force 59","The War Zone; DefenseScoop","CENTCOM official release Dec 18 2025","N/A"
"il-lebanon-hezbollah-march2026","Hezbollah entered the war significantly weakened from the 2024 conflict — IDF had already eliminated 267+ operatives during the ceasefire period. Naim Qassem declined to join the June 2025 12-day war; his decision to enter in March 2026 reflects Iranian pressure post-Khamenei assassination. The IDF ground incursion follows a familiar pattern: use air strikes to suppress air defense and communications, then advance ground forces to buffer zone positions. Lebanon's government banning Hezbollah's military activities signals political fracture within Lebanon but Hezbollah dismissed it. The dual threat to Israel (Iran campaign + Lebanon front) is exactly the multi-front scenario the IDF had been planning for under Op. Roaring Lion. IDF COS Zamir confirmed: 'The IDF planned and is prepared to operate in multiple arenas simultaneously.'","F-35I Adir; F-16I Sufa; F-15I Ra'am; air-launched PGMs; JDAM; SDB; artillery","Dozens of strikes (exact number undisclosed)","N/A","Surface — urban and semi-urban; reinforced Dahiyeh infrastructure","0","Hezbollah intel chief Hussein Makled (confirmed KIA); senior Radwan Force operatives","At least 52 killed, 154 injured in Lebanese strikes (state media, Mar 2)","0","Tens of thousands of reservists being called up","Multiple IAF squadrons","N/A","N/A","N/A","N/A","Hezbollah broke Nov 2024 US-brokered ceasefire; Lebanon Army withdrew from 7+ border posts; Lebanese govt banned Hezbollah military activity (cabinet vote); Israel previously maintained 5 border posts in Lebanon citing Hezbollah non-disarmament; IDF pre-planned multi-front operation","Alma Research Center (monthly IDF Lebanon strike tracker Feb 2026); UNIFIL reports","Times of Israel; Al Jazeera; CNN; Axios; AFP; AP","Security Council Report (Mar 2026 monthly); IISS"
