source_id,name,aliases,category,kind,domain,handle,feed_url,query,perspective,source_country,scope,status,added_by,added_at,corrected_from,last_ok_at,last_items,notes
cnbc,CNBC,,Official news channels,web,cnbc.com,,,,western-us,US,research,active,seed,2026-07-28,,2026-08-16T14:23:58Z,1,
cnn,CNN,CNN International,Official news channels,web,cnn.com,,,,western-us,US,research,active,seed,2026-07-28,,2026-08-16T14:23:58Z,1,
nbc-news,NBC News,NBC,Official news channels,web,nbcnews.com,,,,western-us,US,research,active,seed,2026-07-28,,2026-08-05T14:42:05Z,1,
npr,NPR,National Public Radio,Official news channels,web,npr.org,,,,western-us,US,research,active,seed,2026-07-28,,,,
politico,Politico,Politico EU;Politico Europe,Official news channels,web,politico.com,,,,western-us,US,research,active,seed,2026-07-28,,,,
the-hill,The Hill,Hill,Official news channels,web,thehill.com,,,,western-us,US,research,active,seed,2026-07-28,,,,
france-24,France 24,France24;F24,Official news channels,web,france24.com,,,,french,FR,research,active,seed,2026-07-28,,,,
kyiv-independent,Kyiv Independent,The Kyiv Independent;Kiev Independent,Official news channels,web,kyivindependent.com,,,,ukrainian,UA,research,active,seed,2026-07-28,,2026-08-02T18:05:01Z,1,
kyiv-post,Kyiv Post,Kiev Post,Official news channels,web,kyivpost.com,,,,ukrainian,UA,research,active,seed,2026-07-28,,2026-07-28T14:29:07Z,1,
ukrainska-pravda,Ukrainska Pravda,Ukrayinska Pravda;Ukrainian Pravda,Official news channels,web,pravda.com.ua,,,,ukrainian,UA,research,active,seed,2026-07-28,,,,
euromaidan-press,Euromaidan Press,Euromaidan,Official news channels,web,euromaidanpress.com,,,,ukrainian,UA,research,active,seed,2026-07-28,,,,
hromadske,Hromadske,Hromadske International;Gromadske,Official news channels,web,hromadske.ua,,,,ukrainian,UA,research,active,seed,2026-07-28,,,,
interfax-ukraine,Interfax-Ukraine,Interfax Ukraine;Interfax,Official news channels,web,interfax.com.ua,,,,ukrainian,UA,research,active,seed,2026-07-28,,,,
rferl,RFE/RL,Radio Free Europe;Radio Free Europe/Radio Liberty;Radio Liberty,Official news channels,web,rferl.org,,,,western-us,US,research,active,seed,2026-07-28,,,,
moscow-times,The Moscow Times,Moscow Times,Official news channels,web,themoscowtimes.com,,,,russia,RU,research,active,seed,2026-07-28,,,,
tass,TASS,ITAR-TASS;Tass Russian News Agency,Official news channels,web,tass.com,,,,russia,RU,research,active,seed,2026-07-28,,,,
scmp,South China Morning Post,SCMP;South China Morning,Official news channels,web,scmp.com,,,,chinese,HK,research,active,seed,2026-07-28,,2026-08-05T14:42:05Z,1,
global-times,Global Times,GlobalTimes,Official news channels,web,globaltimes.cn,,,,chinese,CN,research,active,seed,2026-07-28,,,,
xinhua,Xinhua,Xinhua News Agency;Xinhuanet,Official news channels,web,xinhuanet.com,,,,chinese,CN,research,active,seed,2026-07-28,,,,
nikkei,Nikkei Asia,Nikkei;Nikkei Asian Review,Official news channels,web,asia.nikkei.com,,,,japanese,JP,research,active,seed,2026-07-28,,,,
yonhap,Yonhap,Yonhap News Agency,Official news channels,web,en.yna.co.kr,,,,korean,KR,research,active,seed,2026-07-28,,,,
the-diplomat,The Diplomat,Diplomat Magazine,Official news channels,web,thediplomat.com,,,,asia-analysis,US,research,active,seed,2026-07-28,,,,
times-of-india,The Times of India,Times of India;TOI,Official news channels,web,timesofindia.indiatimes.com,,,,indian,IN,research,active,seed,2026-07-28,,,,
ani,ANI,Asian News International,Official news channels,web,aninews.in,,,,indian,IN,research,active,seed,2026-07-28,,2026-08-05T14:42:05Z,1,
anadolu,Anadolu Agency,Anadolu;AA,Official news channels,web,aa.com.tr,,,,turkish,TR,research,active,seed,2026-07-28,,,,
jerusalem-post,The Jerusalem Post,Jerusalem Post;JPost,Official news channels,web,jpost.com,,,,israeli,IL,research,active,seed,2026-07-28,,,,
times-of-israel,The Times of Israel,Times of Israel;ToI Israel,Official news channels,web,timesofisrael.com,,,,israeli,IL,research,active,seed,2026-07-28,,,,
haaretz,Haaretz,Ha'aretz,Official news channels,web,haaretz.com,,,,israeli,IL,research,active,seed,2026-07-28,,,,
tehran-times,Tehran Times,,Official news channels,web,tehrantimes.com,,,,iranian,IR,research,active,seed,2026-07-28,,,,
defense-news,Defense News,DefenseNews,Official news channels,web,defensenews.com,,,,defense-trade,US,research,active,seed,2026-07-28,,,,
military-times,Military Times,MilitaryTimes,Official news channels,web,militarytimes.com,,,,defense-trade,US,research,active,seed,2026-07-28,,2026-07-28T14:29:07Z,1,
defensescoop,DefenseScoop,Defense Scoop,Official news channels,web,defensescoop.com,,,,defense-trade,US,research,active,seed,2026-07-28,,,,
army-recognition,Army Recognition,ArmyRecognition,Official news channels,web,armyrecognition.com,,,,defense-trade,FR,research,active,seed,2026-07-28,,,,
space-news,SpaceNews,Space News,Official news channels,web,spacenews.com,,,,space-trade,US,research,active,seed,2026-07-28,,2026-07-28T20:56:44Z,1,
space-com,Space.com,Space com;Spacecom,Official news channels,web,space.com,,,,space-trade,US,research,active,seed,2026-07-28,,2026-08-17T23:06:46Z,1,
nasaspaceflight,NASASpaceflight,NASA Spaceflight;NSF,Official news channels,web,nasaspaceflight.com,,,,space-trade,US,research,active,seed,2026-07-28,,,,
ars-technica,Ars Technica,ArsTechnica,Official news channels,web,arstechnica.com,,,,tech,US,research,active,seed,2026-07-28,,,,
reliefweb,ReliefWeb,Relief Web,Official news channels,web,reliefweb.int,,,,institutional,UN,research,active,seed,2026-07-28,,,,ReliefWeb API needs a registered appname before it can be an rss/wire source
eu-reporter,EU Reporter,,Official news channels,web,eureporter.co,,,,european,BE,research,active,backfill,2026-07-28,,,,Verified by an existing story update URL
inkorr,Inkorr,,Official news channels,web,inkorr.com,,,,ukrainian,UA,research,active,backfill,2026-07-28,,,,Verified by an existing story update URL
u-s-news-world-report,U.S. News & World Report,U.S. News;US News,Official news channels,web,usnews.com,,,,western-us,US,research,active,backfill,2026-07-28,,2026-08-05T14:42:05Z,2,
federal-news-network,Federal News Network,,Official news channels,web,federalnewsnetwork.com,,,,western-us,US,research,active,backfill,2026-07-28,,,,
olympics-com,Olympics.com,,Official news channels,web,olympics.com,,,,institutional,,research,active,backfill,2026-07-28,,,,
the-baltimore-sun,The Baltimore Sun,Baltimore Sun,Official news channels,web,baltimoresun.com,,,,western-us,US,research,active,backfill,2026-07-28,,,,
the-motley-fool,The Motley Fool,Motley Fool,Official news channels,web,fool.com,,,,markets,US,research,active,backfill,2026-07-28,,,,
benzinga,Benzinga,,Official news channels,web,benzinga.com,,,,markets,US,research,active,backfill,2026-07-28,,2026-08-01T14:29:29Z,1,
forbes,Forbes,,Official news channels,web,forbes.com,,,,western-us,US,research,active,backfill,2026-07-28,,2026-08-07T14:28:32Z,1,
gulf-news,Gulf News,,Official news channels,web,gulfnews.com,,,,gulf,AE,research,active,backfill,2026-07-28,,,,
medianama,MediaNama,,Official news channels,web,medianama.com,,,,indian,IN,research,active,backfill,2026-07-28,,,,
the-barents-observer,The Barents Observer,Barents Observer,Official news channels,web,thebarentsobserver.com,,,,nordic,NO,research,active,user,2026-07-28,Barents Observer,,,Independent Norwegian outlet covering the Arctic/Barents region
yt-caspianreport,CaspianReport,CaspianReport (YouTube),YouTube: Geopolitics & Public Policy;YouTube: Geography & Cities,youtube,youtube.com,CaspianReport,https://www.youtube.com/feeds/videos.xml?channel_id=UCwnKziETDbHJtx78nIkfYug,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,confirmed as 'CaspianReport' (channel_id=UCwnKziETDbHJtx78nIkfYug)
yt-center-for-strategic-international-studies,Center for Strategic & International Studies,Center for Strategic & International Studies (YouTube),"YouTube: Geopolitics & Public Policy;YouTube: War, Defense & Intelligence",youtube,youtube.com,csis,https://www.youtube.com/feeds/videos.xml?channel_id=UCr5jq6MC_VCe1c5ciIZtk_w,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,14,confirmed as 'Center for Strategic & International Studies' (channel_id=UCr5jq6MC_VCe1c5ciIZtk_w)
yt-cfr-education,CFR Education,CFR Education (YouTube),YouTube: Geopolitics & Public Policy,youtube,youtube.com,CFR_Education,https://www.youtube.com/feeds/videos.xml?channel_id=UCpSr3zuNE4ZJoN1e2upu2Nw,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,confirmed as 'CFR Education' (channel_id=UCpSr3zuNE4ZJoN1e2upu2Nw)
yt-daily-mail-world,Daily Mail World,Daily Mail World (YouTube),YouTube: Geopolitics & Public Policy,youtube,youtube.com,DailyMail,https://www.youtube.com/feeds/videos.xml?channel_id=UCw3fku0sH3qA3c3pZeJwdAw,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,11,confirmed as 'Daily Mail World' (channel_id=UCw3fku0sH3qA3c3pZeJwdAw)
yt-fair-observer,Fair Observer,Fair Observer (YouTube),YouTube: Geopolitics & Public Policy,youtube,youtube.com,FairObserver,https://www.youtube.com/feeds/videos.xml?channel_id=UC0Hc9DYReetBjiiRgPTEfbA,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,4,confirmed as 'Fair Observer' (channel_id=UC0Hc9DYReetBjiiRgPTEfbA)
yt-history-of-everything-podcast,History of Everything Podcast,History of Everything Podcast (YouTube),YouTube: Geopolitics & Public Policy;YouTube: History & Archaeology,youtube,youtube.com,TheHistoryofEverything,https://www.youtube.com/feeds/videos.xml?channel_id=UCYgArzg6M4iI-W9tOqYARTA,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,confirmed as 'The History of Everything' (channel_id=UCYgArzg6M4iI-W9tOqYARTA)
yt-hoover-institution,Hoover Institution,Hoover Institution (YouTube),YouTube: Geopolitics & Public Policy,youtube,youtube.com,HooverInstitution,https://www.youtube.com/feeds/videos.xml?channel_id=UCzWwWbbKHg4aodl0S35R6XA,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,15,confirmed as 'Hoover Institution' (channel_id=UCzWwWbbKHg4aodl0S35R6XA)
yt-johnny-harris,Johnny Harris,Johnny Harris (YouTube),YouTube: Geopolitics & Public Policy;YouTube: Geography & Cities,youtube,youtube.com,johnnyharris,https://www.youtube.com/feeds/videos.xml?channel_id=UCmGSJVG3mCRXVOP4yZrU1Dw,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,confirmed as 'Johnny Harris' (channel_id=UCmGSJVG3mCRXVOP4yZrU1Dw)
yt-max-fisher,Max Fisher,Max Fisher (YouTube),YouTube: Geopolitics & Public Policy,youtube,youtube.com,maxfisher,https://www.youtube.com/feeds/videos.xml?channel_id=UCqPTW4CeoAgq111DA__mP9g,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,confirmed as 'Max Fisher' (channel_id=UCqPTW4CeoAgq111DA__mP9g)
yt-max-klymenko,Max Klymenko,Max Klymenko (YouTube),YouTube: Geopolitics & Public Policy;YouTube: Explainers & Philosophy,youtube,youtube.com,MaxKlymenko,https://www.youtube.com/feeds/videos.xml?channel_id=UCisy6taOAeLfyaCqcMQDfig,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,6,confirmed as 'Max Klymenko' (channel_id=UCisy6taOAeLfyaCqcMQDfig)
yt-monusco,MONUSCO,MONUSCO (YouTube),YouTube: Geopolitics & Public Policy,youtube,youtube.com,MONUSCO,https://www.youtube.com/feeds/videos.xml?channel_id=UCbjy1AnVQS4y0FhiGQcZ4kQ,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,3,confirmed as 'MONUSCO' (channel_id=UCbjy1AnVQS4y0FhiGQcZ4kQ)
yt-neo,neo,neo (YouTube),YouTube: Geopolitics & Public Policy;YouTube: Geography & Cities,youtube,youtube.com,neo,https://www.youtube.com/feeds/videos.xml?channel_id=UCRN5iGdeymwClFuVIQB10tQ,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,confirmed as 'neo' (channel_id=UCRN5iGdeymwClFuVIQB10tQ)
yt-polymatter,PolyMatter,PolyMatter (YouTube),YouTube: Geopolitics & Public Policy;YouTube: Geography & Cities,youtube,youtube.com,PolyMatter,https://www.youtube.com/feeds/videos.xml?channel_id=UCgNg3vwj3xt7QOrcIDaHdFg,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,confirmed as 'PolyMatter' (channel_id=UCgNg3vwj3xt7QOrcIDaHdFg)
yt-prime-minister-s-office-of-japan,Prime Minister's Office of Japan,Prime Minister's Office of Japan (YouTube),YouTube: Geopolitics & Public Policy,youtube,youtube.com,PMOJapan,https://www.youtube.com/feeds/videos.xml?channel_id=UCnEQRcFpr2E926ZSZl31uXA,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,"confirmed as ""Prime Minister's Office of Japan"" (channel_id=UCnEQRcFpr2E926ZSZl31uXA)"
yt-sundellviz,Sundellviz,Sundellviz (YouTube),YouTube: Geopolitics & Public Policy,youtube,youtube.com,Sundellviz,https://www.youtube.com/feeds/videos.xml?channel_id=UCm-u0OXhdQkfdNeJOEKzv7g,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,confirmed as 'Sundellviz' (channel_id=UCm-u0OXhdQkfdNeJOEKzv7g)
yt-wendover-productions,Wendover Productions,Wendover Productions (YouTube),"YouTube: Geopolitics & Public Policy;YouTube: Geography & Cities;YouTube: Space, Aviation & Transport",youtube,youtube.com,Wendoverproductions,https://www.youtube.com/feeds/videos.xml?channel_id=UC9RM-iSvTu1uPJb8X5yp3EQ,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,confirmed as 'Wendover Productions' (channel_id=UC9RM-iSvTu1uPJb8X5yp3EQ)
yt-bbc-news,BBC News,BBC News (YouTube),YouTube: News & Current Affairs,youtube,youtube.com,BBCNews,https://www.youtube.com/feeds/videos.xml?channel_id=UC16niRr50-MSBwiO3YDb3RA,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,15,confirmed as 'BBC News' (channel_id=UC16niRr50-MSBwiO3YDb3RA)
yt-bloomberg-originals,Bloomberg Originals,Bloomberg Originals (YouTube),YouTube: News & Current Affairs;YouTube: Economics & Business,youtube,youtube.com,bloombergoriginals,https://www.youtube.com/feeds/videos.xml?channel_id=UCYWpWVSfndpbq1dDsWVslzA,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,confirmed as 'Bloomberg Originals 🎖️' (channel_id=UCYWpWVSfndpbq1dDsWVslzA)
yt-business-insider,Business Insider,Business Insider (YouTube),YouTube: News & Current Affairs;YouTube: Economics & Business,youtube,youtube.com,businessinsider,https://www.youtube.com/feeds/videos.xml?channel_id=UCcyq283he07B7_KUX07mmtA,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,6,confirmed as 'Business Insider' (channel_id=UCcyq283he07B7_KUX07mmtA)
yt-channel-4-news,Channel 4 News,Channel 4 News (YouTube),YouTube: News & Current Affairs,youtube,youtube.com,Channel4News,https://www.youtube.com/feeds/videos.xml?channel_id=UCTrQ7HXWRRxr7OsOtodr2_w,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,15,confirmed as 'Channel 4 News' (channel_id=UCTrQ7HXWRRxr7OsOtodr2_w)
yt-cnbc,CNBC,CNBC (YouTube),YouTube: News & Current Affairs;YouTube: Economics & Business,youtube,youtube.com,CNBC,https://www.youtube.com/feeds/videos.xml?channel_id=UCvJJ_dzjViJCoLf5uKUTwoA,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,5,confirmed as 'CNBC' (channel_id=UCvJJ_dzjViJCoLf5uKUTwoA)
yt-cnn,CNN,CNN (YouTube),YouTube: News & Current Affairs,youtube,youtube.com,CNN,https://www.youtube.com/feeds/videos.xml?channel_id=UCupvZG-5ko_eiXAupbDfxWw,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,15,confirmed as 'CNN' (channel_id=UCupvZG-5ko_eiXAupbDfxWw)
yt-forbes,Forbes,Forbes (YouTube),YouTube: News & Current Affairs;YouTube: Economics & Business,youtube,youtube.com,Forbes,https://www.youtube.com/feeds/videos.xml?channel_id=UCmh7afBz-uWwOSSNTqUBAhg,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,15,confirmed as 'Forbes' (channel_id=UCmh7afBz-uWwOSSNTqUBAhg)
yt-ms-now,MS NOW,MS NOW (YouTube),YouTube: News & Current Affairs,youtube,youtube.com,MSNOW,https://www.youtube.com/feeds/videos.xml?channel_id=UCaXkIU1QidjPwiAYu6GcHjg,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,15,confirmed as 'MS NOW' (channel_id=UCaXkIU1QidjPwiAYu6GcHjg)
yt-nbc-news,NBC News,NBC News (YouTube),YouTube: News & Current Affairs,youtube,youtube.com,NBCNews,https://www.youtube.com/feeds/videos.xml?channel_id=UCeY0bbntWzzVIaj2z3QigXg,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,15,confirmed as 'NBC News' (channel_id=UCeY0bbntWzzVIaj2z3QigXg)
yt-npr,NPR,NPR (YouTube),YouTube: News & Current Affairs,youtube,youtube.com,NPR,https://www.youtube.com/feeds/videos.xml?channel_id=UCJnS2EsPfv46u1JR8cnD0NA,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,13,confirmed as 'NPR' (channel_id=UCJnS2EsPfv46u1JR8cnD0NA)
yt-reasontv,ReasonTV,ReasonTV (YouTube),YouTube: News & Current Affairs,youtube,youtube.com,ReasonTV,https://www.youtube.com/feeds/videos.xml?channel_id=UC0uVZd8N7FfIZnPu0y7o95A,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,6,confirmed as 'ReasonTV' (channel_id=UC0uVZd8N7FfIZnPu0y7o95A)
yt-the-wall-street-journal,The Wall Street Journal,The Wall Street Journal (YouTube),YouTube: News & Current Affairs;YouTube: Economics & Business,youtube,youtube.com,WSJ,https://www.youtube.com/feeds/videos.xml?channel_id=UCK7tptUDHh-RYDsdxO1-5QQ,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,7,confirmed as 'The Wall Street Journal' (channel_id=UCK7tptUDHh-RYDsdxO1-5QQ)
yt-tldr-news-global,TLDR News Global,TLDR News Global (YouTube),YouTube: News & Current Affairs,youtube,youtube.com,TLDRNewsGlobal,https://www.youtube.com/feeds/videos.xml?channel_id=UC-uhvujip5deVcEtLxnW8qg,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,5,confirmed as 'TLDR News Global' (channel_id=UC-uhvujip5deVcEtLxnW8qg)
yt-tldr-news-us,TLDR News US,TLDR News US (YouTube),YouTube: News & Current Affairs,youtube,youtube.com,TLDRnewsUS,https://www.youtube.com/feeds/videos.xml?channel_id=UCGg5QDOcFZYS3FbLVHRvJUw,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,confirmed as 'TLDR News US' (channel_id=UCGg5QDOcFZYS3FbLVHRvJUw)
yt-vox,Vox,Vox (YouTube),YouTube: News & Current Affairs,youtube,youtube.com,Vox,https://www.youtube.com/feeds/videos.xml?channel_id=UCLXo7UDZvByw2ixzpQCufnA,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,11,confirmed as 'Vox' (channel_id=UCLXo7UDZvByw2ixzpQCufnA)
yt-wired,WIRED,WIRED (YouTube),YouTube: News & Current Affairs,youtube,youtube.com,WIRED,https://www.youtube.com/feeds/videos.xml?channel_id=UCftwRNsjfRo08xYE31tkiyw,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,1,confirmed as 'WIRED' (channel_id=UCftwRNsjfRo08xYE31tkiyw)
yt-econ,Econ,Econ (YouTube),YouTube: Economics & Business,youtube,youtube.com,Econ,https://www.youtube.com/feeds/videos.xml?channel_id=UCyHJ94JzwY92NsBVzJ2aE3Q,,video,,video,unverified,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,handle @Econ resolves to 'Commerce අපි' — not this channel; needs the right handle
yt-economics-explained,Economics Explained,Economics Explained (YouTube),YouTube: Economics & Business,youtube,youtube.com,EconomicsExplained,https://www.youtube.com/feeds/videos.xml?channel_id=UCZ4AMrDcNrfy3X6nsU8-rPg,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,1,confirmed as 'Economics Explained' (channel_id=UCZ4AMrDcNrfy3X6nsU8-rPg)
yt-how-money-works,How Money Works,How Money Works (YouTube),YouTube: Economics & Business,youtube,youtube.com,HowMoneyWorks,https://www.youtube.com/feeds/videos.xml?channel_id=UCkCGANrihzExmu9QiqZpPlQ,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,confirmed as 'How Money Works' (channel_id=UCkCGANrihzExmu9QiqZpPlQ)
yt-kyla-scanlon,Kyla Scanlon,Kyla Scanlon (YouTube),YouTube: Economics & Business,youtube,youtube.com,kylascanlon,https://www.youtube.com/feeds/videos.xml?channel_id=UC-J8PybPmYl6VJbu8sCRdHQ,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,4,confirmed as 'Kyla Scanlon' (channel_id=UC-J8PybPmYl6VJbu8sCRdHQ)
yt-micro,Micro,Micro (YouTube),YouTube: Economics & Business,youtube,youtube.com,Micro-Econ-YT,https://www.youtube.com/feeds/videos.xml?channel_id=UCJVXj8BvHykEklEeKjFwaXQ,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,confirmed as 'Micro' (channel_id=UCJVXj8BvHykEklEeKjFwaXQ)
yt-our-future,Our Future,Our Future (YouTube),YouTube: Economics & Business,youtube,youtube.com,OurFuture,https://www.youtube.com/feeds/videos.xml?channel_id=UC2htIc3-njRI5BKTJ2QqNfA,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,confirmed as 'Our Future' (channel_id=UC2htIc3-njRI5BKTJ2QqNfA)
yt-battle-order,Battle Order,Battle Order (YouTube),"YouTube: War, Defense & Intelligence;YouTube: Military History",youtube,youtube.com,BattleOrder,https://www.youtube.com/feeds/videos.xml?channel_id=UCn6_Kza6erL9GCAhOpQLfBg,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,0,confirmed as 'Battle Order' (channel_id=UCn6_Kza6erL9GCAhOpQLfBg)
yt-cappy-army,Cappy Army,Cappy Army (YouTube),"YouTube: War, Defense & Intelligence",youtube,youtube.com,ChrisCappy,https://www.youtube.com/feeds/videos.xml?channel_id=UCwrpo8z3IgJln2ZidqBUiMA,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,5,confirmed as 'Cappy Army' (channel_id=UCwrpo8z3IgJln2ZidqBUiMA)
yt-front-cost,Front Cost,Front Cost (YouTube),"YouTube: War, Defense & Intelligence;YouTube: Space, Aviation & Transport",youtube,youtube.com,FrontCost,https://www.youtube.com/feeds/videos.xml?channel_id=UC1LScVpUK3nfRU0VzPbxdsA,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,1,confirmed as 'Front Cost' (channel_id=UC1LScVpUK3nfRU0VzPbxdsA)
yt-growling-sidewinder,Growling Sidewinder,Growling Sidewinder (YouTube),"YouTube: War, Defense & Intelligence",youtube,youtube.com,GrowlingSidewinder,https://www.youtube.com/feeds/videos.xml?channel_id=UCh2rDh7vXGeoh1LlzL3QEwg,,video,,video,active,seed-youtube,2026-07-28,,2026-08-21T17:57:41Z,5,confirmed as 'Growling Sidewinder' (channel_id=UCh2rDh7vXGeoh1LlzL3QEwg)
