"story_id","url","verdict","reason","headline","reviewed_at"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=bDaKCcSOUvk","keep","Scenario for a PLA drill turning into a Taiwan invasion.","China's Planning to Turn This Drill into an Invasion","2026-07-28T19:12:12Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=gCEMbFcH8dc","keep","Explainer on Taiwan's status and its relationship with China.","Taiwan: Why This Island Is at the Center of Global Tensions","2026-07-28T19:12:12Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=0Qz8IfrQ_nk","keep","US reinforcement planning for a Taiwan contingency.","U.S Plan to Surge 900,000 Troops Against China","2026-07-28T19:12:12Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=JIeeH0IJDo0","keep","US operational plan for defending Taiwan.","The U.S. Military’s Radical Plan to Defeat China","2026-07-28T19:12:12Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=ktQM1mxBeKQ","drop","Subject is the A-10 airframe; the Taiwan Strait is set dressing for a weapons-platform video.","The New 2026 A-10 Warthog Is Back… And It’s Worse Than Ever","2026-07-28T19:12:12Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=Xm4mS_eikKU","keep","Argues Beijing can win Taiwan by pressure rather than invasion.","Why time is on China’s side","2026-07-28T19:12:12Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=W5pEzgjS_es","drop","About China's nuclear-arsenal expansion, not the Taiwan/South China Sea dispute.","CIA Catches China Getting Ready for Nuclear War","2026-07-28T19:12:12Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=CNxpBMM9biQ","drop","Carrier-capability hype piece; no coverage of the dispute itself.","Japan's NEW Massive Aircraft Carrier Just Beat Every Chinese Warship!","2026-07-28T19:12:12Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=Li4PNLKrw9g","keep","History of the China-Taiwan split — background the story wants.","Shadow of the Dragon - The History of Taiwan & China","2026-07-28T19:12:12Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=3xWGfniQMdQ","drop","Taiwan's economy and semiconductor dependence, not the cross-strait dispute.","Does Taiwan Have Dutch Disease?","2026-07-28T19:12:12Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=b5DmbWMtwDk","drop","Kyushu earthquake. Matched on the country tag JP alone; no relation to the story.","Magnitude 7.1 earthquake strikes Kyushu, Japan, triggering tsunami warnings","2026-07-28T19:12:12Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=nelbDwr_1lg","drop","Fighter-jet stealth speculation; China named but the dispute is not the subject.","IT’S OVER: F-47 Fighter Jet PLASMA SHIELD Broke China's ENTIRE Military!","2026-07-28T19:12:12Z"
"st-20260724-ai-use-in-war-across-the-world","https://www.youtube.com/watch?v=zARxLdZUa5I","keep","Autonomous/interceptor drone defence at scale.","How Ukraine Is Stopping 90% of Russia's Drones (Exclusive) | WSJ","2026-07-28T19:12:12Z"
"st-20260724-ai-use-in-war-across-the-world","https://www.youtube.com/watch?v=ktQM1mxBeKQ","keep","Mass cheap attack drones versus manned airpower economics.","The New 2026 A-10 Warthog Is Back… And It’s Worse Than Ever","2026-07-28T19:12:12Z"
"st-20260724-ai-use-in-war-across-the-world","https://www.youtube.com/watch?v=TzC9s96pEvE","drop","US airpower campaign retrospective; no AI or autonomy content.","The Air Campaign Returns: From Epic Fury to Midnight Hammer","2026-07-28T19:12:12Z"
"st-20260724-ai-use-in-war-across-the-world","https://www.youtube.com/watch?v=vgA0CE7XP2k","keep","Ukraine's uncrewed and semi-autonomous weapons units.","On The Ground Inside Ukraine's Secret Uncrewed Weapons Revolution | Dispatch","2026-07-28T19:12:12Z"
"st-20260724-ai-use-in-war-across-the-world","https://www.youtube.com/watch?v=frCWK6TAvtg","keep","Counter-swarm directed-energy defence against a mass drone attack.","Japan Tests MASSIVE Laser Cannon on its Aircraft Carrier — World Shocked!","2026-07-28T19:12:12Z"
"st-20260724-ai-use-in-war-across-the-world","https://www.youtube.com/watch?v=0MGzNd8L3ec","drop","IFV procurement piece; AI-assisted targeting is one bullet in a spec list.","America’s New Bradley Sends Putin's Tanks Scrambling","2026-07-28T19:12:12Z"
"st-20260724-ai-use-in-war-across-the-world","https://www.youtube.com/watch?v=wEFt5oP5qaQ","keep","Uncrewed surface vessel making its first strike.","How US Sea Drone Took out it's First Target","2026-07-28T19:12:12Z"
"st-20260724-ai-use-in-war-across-the-world","https://www.youtube.com/watch?v=zOA4pOa1i9Y","keep","Long-range drone strike planning and execution.","The Genius Strategy Behind Ukraine's Largest Strike on Russia","2026-07-28T19:12:12Z"
"st-20260724-ai-use-in-war-across-the-world","https://www.youtube.com/watch?v=qTTxVUvr5m4","drop","Ballistic missile strike on Kuwait; no drones, no autonomy.","How Iran Attack Kuwait ?","2026-07-28T19:12:12Z"
"st-20260724-ai-use-in-war-across-the-world","https://www.youtube.com/watch?v=pWxD4qlQhwk","drop","US-Iran strike campaign, where it already sits correctly as a beat; not an AI-in-war video.","US Strikes Iran’s Secret Drone and Missile Base","2026-07-28T19:12:12Z"
"st-20260724-ai-use-in-war-across-the-world","https://www.youtube.com/watch?v=dfnv-owhJjg","drop","Multi-item news roundup; one robot-landing segment is not aboutness.","Global Warning Episode 21: Spies, Swarms & Straits","2026-07-28T19:12:12Z"
"st-20260724-ai-use-in-war-across-the-world","https://www.youtube.com/watch?v=599wR60gLRk","drop","Civilian fuel infrastructure under attack; nothing about AI or autonomous systems.","How Ukrainians are navigating Russia's targeting of civilian gas stations","2026-07-28T19:12:12Z"
"st-20260324-us-iran-strikes","https://www.youtube.com/watch?v=TzVhYjp4dJA","keep","US strikes and the Hormuz closure — the story's core.","US launches fresh strikes as Iran closes Strait of Hormuz","2026-07-28T19:12:12Z"
"st-20260324-us-iran-strikes","https://www.youtube.com/watch?v=HPt6VVQWF4s","keep","US targeting of Iranian infrastructure in this campaign.","Why U.S Forces Actually Destroyed Iran's Bridges","2026-07-28T19:12:12Z"
"st-20260324-us-iran-strikes","https://www.youtube.com/watch?v=yTP2lByym3U","keep","Control of the Strait of Hormuz.","How to Control the Strait of Hormuz? US vs Iran Strikes","2026-07-28T19:12:12Z"
"st-20260324-us-iran-strikes","https://www.youtube.com/watch?v=7nSYg3AbZ28","keep","Assessment of Iranian forces after the strike campaign.","What's Actually Left of Iran's Military?","2026-07-28T19:12:12Z"
"st-20260324-us-iran-strikes","https://www.youtube.com/watch?v=HD8ZPivBp4Q","keep","Strike on an Iranian vessel and the Moscow-Tehran weapons link.","Ukraine's Strike on an Iranian Cargo Ship and the Moscow-Tehran Weapons Pipeline","2026-07-28T19:12:12Z"
"st-20260324-us-iran-strikes","https://www.youtube.com/watch?v=MGJqcD798J8","keep","Pause in the US-Iran strike exchange.","US and Iran pause strikes for third night to make space for talks, US ambassador says | BBC News","2026-07-28T19:12:12Z"
"st-20260324-us-iran-strikes","https://www.youtube.com/watch?v=RM76-BUO5XE","keep","Iranian ballistic missile attack on a US base.","Iran Fired Ballistic Missiles at Diego Garcia. Here's What Stopped Them Cold.","2026-07-28T19:12:12Z"
"st-20260324-us-iran-strikes","https://www.youtube.com/watch?v=pWxD4qlQhwk","keep","US strike on Iranian drone and missile facilities.","US Strikes Iran’s Secret Drone and Missile Base","2026-07-28T19:12:12Z"
"st-20260324-us-iran-strikes","https://www.youtube.com/watch?v=wT6h3-2HZ6k","keep","Options analysis for the US in the Iran conflict.","America Has No Good Options Left in Iran","2026-07-28T19:12:12Z"
"st-20260324-us-iran-strikes","https://www.youtube.com/watch?v=arOHGOAaawg","keep","Israel-Iran strike exchange scenarios.","Israel vs Iran Strikes : The Unthinkable Scenarios","2026-07-28T19:12:12Z"
"st-20260324-us-iran-strikes","https://www.youtube.com/watch?v=TPrRmk7CXaM","keep","Oil price reaction to Iranian strikes and the Hormuz threat.","Oil prices rise to $78 a barrel","2026-07-28T19:12:12Z"
"st-20260324-us-iran-strikes","https://www.youtube.com/watch?v=1LA7dYaRJKU","keep","US target selection in the Iran campaign.","How US Pick Iran'sTargets?","2026-07-28T19:12:12Z"
"st-20260101-us-midterms-2026","https://www.youtube.com/watch?v=WC0owlr53j8","keep","Midterm polling and Trump's standing 99 days out.","‘Reality catching up’ with a ‘WEAKENED’ Trump with only 99 days until the midterms | MS NOW Analysis","2026-07-28T19:12:12Z"
"st-20260101-us-midterms-2026","https://www.youtube.com/watch?v=SYYbxRjFGcY","keep","Mail-in voting appeal ahead of the midterms.","Trump pushes Thune, Supreme Court on policies that 'PREVENT people from voting’","2026-07-28T19:12:12Z"
"st-20260101-us-midterms-2026","https://www.youtube.com/watch?v=kJlq4WdGw8I","keep","Trump as an asset or liability in the midterm campaign.","Is Trump Becoming an Election Liability for Republicans in the Midterms?","2026-07-28T19:12:12Z"
"st-20260101-us-midterms-2026","https://www.youtube.com/watch?v=yg3iepXBRDc","keep","Analysis of the midterm landscape.","You should be thinking differently about the midterm elections","2026-07-28T19:12:12Z"
"st-20260101-us-midterms-2026","https://www.youtube.com/watch?v=s8XPj2DVHt8","keep","Midterm candidate field.","CRAZYSAUCE: Maddow flags the weirdest candidates 99 days from midterms","2026-07-28T19:12:12Z"
"st-20260101-us-midterms-2026","https://www.youtube.com/watch?v=kSuSKoLXwlA","keep","Trump's intervention in the midterms.","‘Totally insane behavior’: Trump talks up his efforts to meddle with the midterms at Michigan rally","2026-07-28T19:12:12Z"
"st-20260101-us-midterms-2026","https://www.youtube.com/watch?v=YM-XBwzaYS8","keep","Election executive order and midterm voting rules.","Trump 'will do anything' to interfere with midterm elections, says Sen. Alex Padilla","2026-07-28T19:12:12Z"
"st-20260115-venezuela-us","https://www.youtube.com/watch?v=Cv5VvzdO1yo","keep","US sanctions policy toward Maduro's Venezuela; dated but on-subject background.","Why is the US Relaxing Sanctions on Venezuela?","2026-07-28T19:12:12Z"
"st-20260115-venezuela-us","https://www.youtube.com/watch?v=PRJra_9RLf0","keep","Venezuelan oil output and PDVSA, central to the sanctions standoff.","Where Has Venezuela's Oil Gone?","2026-07-28T19:12:12Z"
"st-20260115-venezuela-us","https://www.youtube.com/watch?v=EZTWK5fjHnk","drop","About Taiwan; Venezuela is a rhetorical comparison in the title only.","Taiwan is Not Venezuela","2026-07-28T19:12:12Z"
"st-20260722-indian-politics","https://www.youtube.com/watch?v=WY7VWIE9OqE","keep","Protests demanding a cabinet minister's resignation.","Protests in New Delhi demand India's education minister resign","2026-07-28T19:12:12Z"
"st-20260722-indian-politics","https://www.youtube.com/watch?v=IILCtRP9UkI","keep","Explains the nationwide protest wave.","Why Gen Z Protests Have Erupted in India","2026-07-28T19:12:12Z"
"st-20260722-indian-politics","https://www.youtube.com/watch?v=fPw_UmK-w7s","drop","Macroeconomic explainer on Indian growth; not Indian politics.","Why India’s Economic Boom Is So Fragile | Economy of India | Econ","2026-07-28T19:12:12Z"
"st-20260722-indian-politics","https://www.youtube.com/watch?v=rpGA2QPQbIM","keep","Police response to the student protests.","India suspends policeman for firing AK-47 at ‘cockroach’ protesters #India #AK47 #Protest #Cockroach","2026-07-28T19:12:12Z"
"st-20260722-indian-politics","https://www.youtube.com/watch?v=D4fQmWD-Pt4","drop","R&D and innovation economics; no political content.","Why Can’t India Innovate? | Economy of India | Econ","2026-07-28T19:12:12Z"
"st-20260722-indian-politics","https://www.youtube.com/watch?v=RWiKLBkCJQk","keep","The exam controversy driving the protests against the education minister.","The exam causing chaos in India right now","2026-07-28T19:12:12Z"
"st-20260722-indian-politics","https://www.youtube.com/watch?v=V_ICzp64Vuo","drop","History of religion in South Asia; matched on the word India alone.","Why Didn't Hinduism Spread Beyond India and South-East Asia?","2026-07-28T19:12:12Z"
"st-20260722-indian-politics","https://www.youtube.com/watch?v=Uh-L-Ik2WuI","drop","Economic history of India; not current politics.","The Fall And Rise of India","2026-07-28T19:12:12Z"
"st-20260511-ukraine-corruption","https://www.youtube.com/watch?v=8okY1VfmH2s","drop","Trump-Putin-Iran war talks. Matched on the keyword zelensky; no NABU/Midas content.","Trump Says He'll 'Ask Putin' Whether Russia Is Helping Iran, Amid War Talks With Netanyahu and Zelensky","2026-07-28T19:12:12Z"
"st-20260511-ukraine-corruption","https://www.youtube.com/watch?v=Y1wjehTPyAY","drop","Zelensky-Trump meeting on Patriots and diplomacy; belongs to the war story, not the corruption case.","Zelensky describes 'good meeting' with Trump","2026-07-28T19:12:12Z"
"st-20260511-ukraine-corruption","https://www.youtube.com/watch?v=89hAInvLwyE","drop","Russian intelligence-sharing with Iran; matched on zelensky, unrelated to the graft investigation.","'I’ll Ask Putin': Trump dismisses Zelensky's warning ahead of White House visit","2026-07-28T19:12:12Z"
"st-20260511-ukraine-corruption","https://www.youtube.com/watch?v=T3YBGHJM5l0","drop","North Korean troop deployments; matched on zelensky, nothing about corruption.","Zelensky: Putin on verge of getting 30K North Korean troops","2026-07-28T19:12:12Z"
"st-20260511-ukraine-corruption","https://www.youtube.com/watch?v=5WfF5IY6rxI","drop","US domestic corruption polling. Same word, different country and different subject.","Americans say government corruption is a problem as Trump's net worth soars","2026-07-28T19:12:12Z"
"st-20260511-ukraine-corruption","https://www.youtube.com/watch?v=erMtZ75BRZc","drop","Ecuadorian drug gangs and police graft. Shares only the abstract noun corruption with the Yermak/Energoatom case.","Police fight gangs, guns and corruption in Ecuador’s war on drugs | BBC News","2026-07-28T19:12:12Z"
"st-20260511-ukraine-corruption","https://www.youtube.com/watch?v=abjN0S8sydw","drop","Zelensky visiting a UK prime minister; promo-only description, no corruption content.","President Zelensky is UK PM Andy Burnham's first international visitor. #BBCNews","2026-07-28T19:12:12Z"
"st-20260728-nyc-mayor-mamdani","https://www.youtube.com/watch?v=mRTbhh-OZus","keep","Critique of the rent freeze, the mayor's signature housing policy.","The Socialist Rent Freeze Is Killing New York Housing","2026-07-28T19:12:12Z"
"st-20260728-nyc-mayor-mamdani","https://www.youtube.com/watch?v=F8csA2pU7S8","keep","Mamdani press conference on municipal grocery stores.","Mayor Mamdani Holds Press Conference on Municipal Grocery Store Announcement","2026-07-28T19:12:12Z"
"st-20260728-nyc-mayor-mamdani","https://www.youtube.com/watch?v=PJKm1KTjWCw","keep","Mamdani press conference at City Hall.","Mayor Mamdani Holds Press Conference to Make an Announcement","2026-07-28T19:12:12Z"
"st-20260728-nyc-mayor-mamdani","https://www.youtube.com/watch?v=KBGYVB35HU8","keep","Mamdani public briefing.","Mayor Mamdani Hosts “The Morning Pitch” to Provide Traffic & Weather Updates Ahead World Cup Final","2026-07-28T19:12:12Z"
"st-20260728-nyc-mayor-mamdani","https://www.youtube.com/watch?v=IwtiYmgHVAw","keep","Mamdani housing announcement.","Mayor Mamdani Holds a Press Conference to Make a Housing Announcement","2026-07-28T19:12:12Z"
"st-20260728-nyc-mayor-mamdani","https://www.youtube.com/watch?v=oByOpqcFYOQ","keep","Mamdani education announcement.","Mayor Mamdani Holds Press Conference to Make an Education Announcement","2026-07-28T19:12:12Z"
"st-20260728-nyc-mayor-mamdani","https://www.youtube.com/watch?v=CcbUs4Isr1Y","keep","Mamdani technology announcement.","Mayor Mamdani Holds Press Conference to Make a Technology Announcement","2026-07-28T19:12:12Z"
"st-20260728-nyc-mayor-mamdani","https://www.youtube.com/watch?v=sT5i5yxD0nk","keep","Mamdani consumer protection announcement.","Mayor Mamdani Holds a Press Conference to Make a Consumer Protection Announcement","2026-07-28T19:12:12Z"
"st-20260728-nyc-mayor-mamdani","https://www.youtube.com/watch?v=1bOdcZm70ws","keep","Mamdani and the governor on transportation.","Mayor Mamdani Holds Press Conference with Governor Hochul to Make Transportation Announcement","2026-07-28T19:12:12Z"
"st-20260511-ukraine-corruption","https://www.youtube.com/watch?v=Uhj5dawDjpE","drop","A MAGA influencer's change of heart on US aid to Ukraine. Matched on the keyword zelensky plus the UA tag; nothing on Operation Midas, NABU or Yermak.","MAGA influencer Laura Loomer visits Ukraine and apologises to Zelensky, as Trump meets Zelensky and Netanyahu","2026-07-28T19:31:35Z"
"st-20260511-ukraine-corruption","https://www.youtube.com/watch?v=Q_2CPW2cbTk","drop","General explainer on kleptocracy and authoritarianism worldwide. The same failure as the Ecuador clip: the topic word corruption, not this case.","History Professor Answers Corruption Questions | Tech Support | WIRED","2026-07-28T19:31:35Z"
"st-20260101-russia-ukraine-war","https://www.youtube.com/watch?v=vgA0CE7XP2k","keep","Front-line report on Ukrainian uncrewed weapons units in this war.","On The Ground Inside Ukraine's Secret Uncrewed Weapons Revolution | Dispatch","2026-07-28T19:31:35Z"
"st-20260101-russia-ukraine-war","https://www.youtube.com/watch?v=i2vmr-kLZ2o","keep","Russian operational failures over the 2026 campaign.","Russia’s Dumbest Mistakes (in 2026)","2026-07-28T19:31:35Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=2c7MFtScwOY","keep","Argues Trump traded away Taiwan's position to Beijing — directly the cross-strait question.","Trump sold out Taiwan to China for this?","2026-07-28T19:31:35Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=VLAhwtOr73U","drop","Thailand's economy. Matched on the word asean in the body and a JP country tag.","Thailand is Dying: The Crisis No One Talks About","2026-07-28T19:31:35Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=aDrUR4pK2RM","drop","Fusion energy commercialisation. Technology competition, not the Taiwan or South China Sea dispute.","China Is Moving Fast on Fusion | Betting on America","2026-07-28T19:31:35Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=rFn-nklQqpE","drop","Nuclear escalation logic around Iran; China and Taiwan appear only as an analogy. Already rejected off the Russia-Ukraine story for the same reason.","Would Nuking Iran Give Russia an Excuse?","2026-07-28T19:31:35Z"
"st-20260728-nyc-mayor-mamdani","https://www.youtube.com/watch?v=HtIWCGfRJ9c","drop","Democratic party politics on Israel and Gaza. Mamdani is one name inside a podcast description, not the subject.","Are US Democrats turning against Israel? | Global News Podcast","2026-07-28T19:31:35Z"
"st-20260724-ai-use-in-war-across-the-world","https://www.youtube.com/watch?v=EK8k2SfaGBE","keep","European drone procurement and the AI/EW stack around it, drawn from Ukraine's battlefield lessons.","Why Europe is betting big on drones","2026-07-28T19:31:35Z"
"st-20260724-ai-use-in-war-across-the-world","https://www.youtube.com/watch?v=yZo2PeN7kNo","keep","Counter-swarm defence; the title states the subject even though the description is empty.","How To Defeat A Drone Swarm","2026-07-28T19:31:35Z"
"st-20260724-ai-use-in-war-across-the-world","https://www.youtube.com/watch?v=unraT22a4zY","keep","Technology being fielded to stop drone swarms.","Drone Swarms Are Here. This Technology Could Stop Them.","2026-07-28T19:31:35Z"
"st-20260101-us-midterms-2026","https://www.youtube.com/watch?v=MXy3Krj9N2k","keep","Supreme Court fight over mail-in voting rules for these midterms.","Trump asks the Supreme Court to revive his mail-in voting restrictions before the midterms","2026-07-28T19:31:35Z"
"st-20260101-us-midterms-2026","https://www.youtube.com/watch?v=DkycYKfcTmA","keep","Republican candidates' positioning toward Trump in the midterm campaign.","GOP midterm candidates told it's OK to distance themselves from Trump","2026-07-28T19:31:35Z"
"st-20260101-us-midterms-2026","https://www.youtube.com/watch?v=aFv0KvpcvKo","drop","A mathematics conference in Philadelphia. Matched on the word congress, which here means an academic congress.","International Congress of Mathematicians: Opening Ceremony","2026-07-28T19:31:35Z"
"st-20260722-indian-politics","https://www.youtube.com/watch?v=jZVzha3dpag","drop","Colonial history of the subcontinent; matched on the word india alone.","The British Colonization of India Explained","2026-07-28T19:31:35Z"
"st-20260722-indian-politics","https://www.youtube.com/watch?v=3Mgw_QHkPVE","drop","Partition and independence history; not current Indian politics.","The Decolonisation of India Explained","2026-07-28T19:31:35Z"
"st-20260511-ukraine-corruption","https://www.youtube.com/watch?v=lq80fgQ2v2s","drop","Zelensky merely attending Sen. Graham's funeral, not about NABU/Yermak corruption case","Zelensky, Netanyahu, Trump arrive at Sen. Graham’s funeral","2026-07-29T02:44:25Z"
"st-20260723-space-companies","https://www.youtube.com/watch?v=enFowfSmMpI","keep","Direct analysis of NASA's reliance on SpaceX/Blue Origin tech for Artemis, core to space-companies story","NASA's Big Mistake: Choosing Risky Tech Over Reliable Systems","2026-07-29T02:44:25Z"
"st-20260723-space-companies","https://www.youtube.com/watch?v=gMmFrX8W_2U","keep","Directly about SpaceX's rideshare launch business bottleneck","SpaceX Rideshare Crisis: What’s Really Happening","2026-07-29T02:44:25Z"
"st-20260723-space-companies","https://www.youtube.com/watch?v=kuo-0CCwMJQ","keep","Directly about SpaceX stock rout and Musk's wealth tied to it","Elon Musk’s Wealth Sinks Below $700 Billion As SpaceX Rout Extends","2026-07-29T02:44:25Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=D565Pt2p3QI","drop","General ASEAN maritime-cooperation webinar on Indonesia/Singapore/Vietnam views; no mention of China or Taiwan","Indo-Pacific Maritime Security Cooperation: The View From Southeast Asia","2026-07-29T02:44:25Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=frCWK6TAvtg","keep","Japan's counter to a Chinese drone swarm near Okinawa, direct Japan-China military tension","Japan Tests MASSIVE Laser Cannon on its Aircraft Carrier — World Shocked!","2026-07-29T02:44:25Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=C3jW0li7zh0","keep","Japan's counterstrike capability vs China in the East China Sea, direct Japan-China military tension","Japan's New MASSIVE Weapon on Aircraft Carrier Just Beat Every $5B Chinese Warship!","2026-07-29T02:44:25Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=EZTWK5fjHnk","keep","Explainer directly on Taiwan's geopolitical situation, on-topic for the China-Taiwan story","Taiwan is Not Venezuela","2026-07-29T02:44:25Z"
"st-20260728-nyc-mayor-mamdani","https://www.youtube.com/watch?v=SWgHVOXdM1c","drop","Multi-item NBC news roundup (Israel-US relations, France wildfires) that only name-drops Mamdani in the last segment","Rumored Ruptures for U.S. and Israel Relations; Heat Wave Fanning Flames in France - July 28","2026-07-29T02:44:25Z"
"st-20260728-nyc-mayor-mamdani","https://www.youtube.com/watch?v=LsHze3t_IMM","drop","Routine NYC Dept of Finance pied-a-terre tax list release; does not mention Mamdani or his policies","New York City releases pied-a-terre tax list of wealthy second-home owners","2026-07-29T02:44:25Z"
"st-20260101-us-midterms-2026","https://www.youtube.com/watch?v=4tYobRvnSqk","keep","Wisconsin gubernatorial primary contest, directly part of the midterms road-to-November story","98 days to midterms: Wisconsin Democrats weigh a democratic socialist for governor","2026-07-29T02:44:25Z"
"st-20260101-us-midterms-2026","https://www.youtube.com/watch?v=-N3o7KNc2_Y","drop","Senate confirmation of a DNI pick is a national-security personnel story, not part of the midterm election arc (shutdown/redistricting/approval/primaries)","Senate confirms Jay Clayton as Director of National Intelligence","2026-07-29T02:44:25Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=dfnv-owhJjg","drop","Multi-item news roundup podcast (Japan spy agency, Ukraine robots, China purges, Russian tanks, Iraq-Syria pipeline) — no segment is about Taiwan/South China Sea","Global Warning Episode 21: Spies, Swarms & Straits","2026-07-29T15:00:49Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=XEuholU0i_E","drop","Multi-item news roundup; SCS claims are just one of five unrelated segments (ethnic unity law, Samsung profits, Russian tanks, Red Sea security)","Global Warning Episode 20: Parties, Panzers, and Pirates","2026-07-29T15:00:49Z"
"st-20260101-us-midterms-2026","https://www.youtube.com/watch?v=-MNpvLYvKrE","keep","Manchin's new independent-candidate campaign is a direct development in the midterm political landscape the story tracks","Joe Manchin launches 'Independent Leadership Council' to back independent congressional candidates","2026-07-29T15:00:49Z"
"st-20260101-us-midterms-2026","https://www.youtube.com/watch?v=BzuBXPcChm4","keep","CNN poll on Trump approval ahead of midterms is exactly the 'Trump's approval swings' thread the story tracks","CNN poll shows bad numbers for Trump as midterms approach","2026-07-29T15:00:49Z"
"st-20260722-indian-politics","https://www.youtube.com/watch?v=dM9C-bJmea8","keep","Comparative piece on India's bureaucratic governance model vs Pakistan's military one is a direct background explainer on India's political character","Pakistan Chose Generals. India Chose Bureaucrats.","2026-07-29T15:00:49Z"
"st-20260724-china-hits-back-at-japan-over-taiwan-question-an","https://www.youtube.com/watch?v=-d3dZojivjI","drop","Subject is Germany's economy vs Chinese import competition, nothing to do with Taiwan/South China Sea dispute","Germany's China Problem: Can Europe Curb Chinese Import Competition?","2026-07-30T15:01:31Z"
