"created_at","full_text","categories","countries","operations"
"2026-03-22 03:30:01","Israeli military says it has eliminated 9 members of Hezbollah in southern Lebanon","military_operations","IL;LB",""
"2026-03-22 03:10:02","Iranian ballistic missile attack in the direction of Israeli city of Eilat","military_operations","IL;IR","Iran Retaliation"
"2026-03-22 03:10:02","Israeli military says Iran has launched 400 missiles since start of war, with 92% of them intercepted.","military_operations","IL;IR",""
"2026-03-22 02:30:01","Iranian state media announces a new wave of missiles towards Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-21 23:20:01","New Iranian ballistic missile attack on Southern Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-21 22:10:01","Iran launches new missile attack on Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-21 18:30:02","Iranian military says it will strike energy infrastructure and desalination plants in the region if the US targets its power plants","military_operations","IR",""
"2026-03-21 17:10:02","Bitcoin falls sharply after Trump's threats to 'obliterate' Iranian power plants if the Strait of Hormuz is not open within 48 hours","military_operations","IR",""
"2026-03-21 17:00:03","Trump says the US will 'obliterate' Iranian power plants if the Strait of Hormuz is not open within 48 hours","military_operations","IR",""
"2026-03-21 14:30:01","Israeli broadcasting authority says that Iranian attack on Arad has resulted in the highest number of casualties since the war began","military_operations;casualties_humanitarian","IL;IR",""
"2026-03-21 13:50:04","Mass casualty incident declared in Arad in Southern Israel after Iranian ballistic missile attack, with reports that dozens of people have been wounded.","military_operations;casualties_humanitarian","IL;IR","Iran Retaliation"
"2026-03-21 13:20:02","Saudi Arabia gives Iranian Embassy staff, including military attaché and other diplomats, 24 hours to leave the country.","military_operations;diplomacy_negotiations","IR;SA",""
"2026-03-21 13:20:02","Reports of casualties in southern Israel following Iranian ballistic missile attack","military_operations;casualties_humanitarian","IL;IR","Iran Retaliation"
"2026-03-21 13:10:01","Iran has launched a new wave of missiles towards southern Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-21 13:00:03","International Atomic Energy Agency says no abnormal radiation levels detected after strike on Dimona, Israel.","military_operations;nuclear","IL",""
"2026-03-21 12:40:02","Palestinian Interior Minister has condemned Iranian attacks on Saudi Arabia and other Gulf states","military_operations","IR;PS;SA",""
"2026-03-21 12:30:02","Drone attack targets US diplomatic facility close to Baghdad airport, according to Reuters report.","military_operations;diplomacy_negotiations","IQ",""
"2026-03-21 12:10:03","Israeli media reports that Yemen's Houthis may join the war next week","military_operations","IL;YE","Houthi / Proxies"
"2026-03-21 03:40:02","Israel defense minister says strikes on Iran are set to 'increase significantly'","military_operations","IL;IR","Op. Epic Fury"
"2026-03-20 20:30:02","Iran has launched a new wave of missiles towards Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-20 19:20:02","CNN reports that Iran 'unsuccessfully' targeted US-UK base at Diego Garcia in the Indian Ocean with ballistic missiles","military_operations","IR","Iran Retaliation"
"2026-03-20 17:50:03","Iran fired two ballistic missiles at US-UK base at Diego Garcia in the Indian Ocean, according to Wall Street Journal report.","military_operations","IR","Iran Retaliation"
"2026-03-20 14:30:02","Trump post about considering winding down military efforts in the Middle East","military_operations","",""
"2026-03-20 14:30:02","Trump says other countries and not the US should guard the Strait of Hormuz","military_operations","",""
"2026-03-20 14:20:01","Trump says 'we are getting very close to meeting our objectives as we consider winding down our great Military efforts in the Middle East with respect to the Terrorist Regime of Iran'","military_operations","IR",""
"2026-03-20 12:50:02","Trump says that from a military standpoint, 'Iran is finished'.","military_operations","IR",""
"2026-03-20 12:50:02","Trump says that Japan, South Korea and China need to get involved in securing the Strait of Hormuz","military_operations","CN",""
"2026-03-20 11:50:02","The Pentagon has made 'detailed preparations for deploying US ground forces into Iran', according to CBS News report.","military_operations","IR",""
"2026-03-20 11:20:02","Reports of very strong blast in Isfahan, Iran, with cause unclear.","military_operations","IR",""
"2026-03-20 11:10:02","UK approves US use of RAF Fairford and Diego Garcia for strikes on Iranian missile sites, according to The Times.","military_operations","IR","Iran Retaliation"
"2026-03-20 11:00:02","The US is sending 'three warships and thousands of additional Marines to the Middle East', according to Wall Street Journal report.","military_operations","",""
"2026-03-20 04:20:02","Iranian missile launch towards central Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-20 03:30:03","Trump administration is considering plans to 'occupy or blockade Iran's Kharg Island', which processes 90% of Iranian oil exports, according to Axios report.","military_operations","IR",""
"2026-03-19 22:00:03","Fire at oil refinery in Kuwait due to drone attack","military_operations","",""
"2026-03-19 21:40:03","Oil tanker company paid Iran $2 million for safe passage through Strait of Hormuz, according to Financial Times report.","military_operations","IR",""
"2026-03-19 12:30:02","Iran's strike on Qatar gas facility will take up to 5 years of repairs and cut production by 17%","military_operations","IR",""
"2026-03-19 12:10:04","Netanyahu says there are 'many possibilities' when it comes to a ground-based component to the operation in Iran.","military_operations","IL;IR",""
"2026-03-19 12:00:02","Netanyahu says that Iran no longer has the capacity to make ballistic missiles","military_operations","IL;IR","Iran Retaliation"
"2026-03-19 03:20:01","Iran is considering collecting tolls from ships that pass through the Strait of Hormuz","military_operations","IR",""
"2026-03-19 00:30:02","Fire at Kuwait oil refinery after Iranian drone attack","military_operations","IR",""
"2026-03-18 22:00:01","Oil refinery in Saudi Arabia's capital Riyadh was attacked by Iranian ballistic missiles, according to Wall Street Journal report.","military_operations","IR;SA","Iran Retaliation"
"2026-03-18 21:00:01","UK military reports incident east of Qatar and that a 'vessel has been hit by an unknown projectile'","military_operations","",""
"2026-03-18 19:20:01","Trump post about Israeli attack on Iranian gas field and threatens Iran over its attacks","military_operations","IL;IR","Op. Epic Fury"
"2026-03-18 17:10:01","Trump administration is 'considering deploying thousands' of American troops to 'reinforce its operation in the Middle East', according to Reuters report.","military_operations","US",""
"2026-03-18 17:00:03","UK military reports a commercial vessel has been targeted in the Gulf of Oman","military_operations","",""
"2026-03-18 16:50:02","Saudi foreign minister says his country reserves the right to military action against Iran if needed","military_operations","IR;SA",""
"2026-03-18 16:40:02","Saudi Arabia's foreign minister says Iran had prepared in advance for its attacks on Gulf states, and that they will increase Iran's isolation.","military_operations","IR;SA",""
"2026-03-18 14:40:08","Four Palestinian women killed in Iranian missile attack","military_operations;casualties_humanitarian","IR;PS","Iran Retaliation"
"2026-03-18 13:30:02","Qatar expels Iranian military and security diplomatic staff, orders them to leave country within 24 hours.","military_operations;diplomacy_negotiations","IR",""
"2026-03-18 13:10:02","New Iranian missile launch towards Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-18 13:00:02","Israel's Kann News reports that the US is building up forces to take control of the Strait of Hormuz by force","military_operations","IL",""
"2026-03-18 13:00:02","Saudi Arabia has intercepted four ballistic missiles that targeted Riyadh","military_operations","SA",""
"2026-03-18 12:50:02","Iran says it is continuing to attack gas refinery in Bahrain","military_operations","IR",""
"2026-03-18 12:40:03","Several Iranian navy vessels have been destroyed in the Caspian Sea","military_operations","IR",""
"2026-03-18 12:20:02","Qatar calls Iranian attack on its Ras Laffan Industrial City a 'dangerous escalation' and a 'flagrant violation of its sovereignty'","military_operations","IR",""
"2026-03-18 12:20:02","Israeli media outlet Channel 14 reports that the military is attacking the Iranian navy in the Caspian Sea","military_operations","IL;IR","Op. Epic Fury"
"2026-03-18 03:30:03","Israeli military has killed Iran’s Intelligence Minister Esmail Khatib","military_operations;casualties_humanitarian","IL;IR",""
"2026-03-18 01:40:02","Israeli military targeted Iran's intelligence minister, outcome not yet clear.","military_operations","IL;IR",""
"2026-03-18 00:10:01","Iran's foreign minister says his country will set new rules for the passage of ships through the Strait of Hormuz once the war is done","military_operations","IR",""
"2026-03-17 23:10:02","Alerts across parts of Israel as Iran launches new wave of missiles","military_operations","IL;IR","Iran Retaliation"
"2026-03-17 17:20:03","Drone attack has targeted the US embassy in Baghdad","military_operations","IQ",""
"2026-03-17 16:50:02","Reports of targeted Israeli strike on Beirut","military_operations","IL;LB",""
"2026-03-17 16:10:07","Two people killed in central Israel after latest wave of Iranian missiles","military_operations","IL;IR",""
"2026-03-17 15:30:02","Iranian cluster munition witnessed in latest attack on central Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-17 15:20:02","Blasts heard over Dubai as air defenses engage new Iranian attack","military_operations","IR",""
"2026-03-17 15:20:02","New Iranian missile attack wave launched towards central Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-17 13:40:03","US officials say that the military has lost over a dozen MQ-9 Reaper drones so far during the war with Iran, according to ABC News report.","military_operations","IR;US",""
"2026-03-17 13:20:02","Russia is expanding intelligence sharing and military cooperation with Iran, according to Wall Street Journal report.","military_operations","IR;RU",""
"2026-03-17 13:10:02","Russia is expanding intelligence sharing and military cooperation with Iran, according to Reuters report.","military_operations","IR;RU",""
"2026-03-17 12:30:02","Israeli media reports that Trump is planning to take control of the Strait of Hormuz by force","military_operations","IL",""
"2026-03-17 12:00:02","Israeli military says it will 'track down' and 'neutralize' Iran's new Supreme Leader Mojtaba Khamenei","military_operations","IL;IR",""
"2026-03-17 11:40:02","Iran's Speaker of Parliament says the Strait of Hormuz will not return to its pre-war status","military_operations","IR",""
"2026-03-17 11:30:02","The US has encouraged Syria to undertake an operation against Hezbollah in eastern Lebanon, however 'Damascus is reluctant', according to Reuters report.","military_operations","LB;SY",""
"2026-03-17 04:00:02","Iran launches new wave of missiles at Tel Aviv and central Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-17 02:10:02","Israeli military says it has killed the commander of Iran's Basij, Gholamreza Soleimani.","military_operations;casualties_humanitarian","IL;IR",""
"2026-03-16 15:00:02","The US military says it has struck 7,000 targets in Iran since the war began.","military_operations","IR;US",""
"2026-03-16 13:40:02","Trump says that Iran's missile factories have been 'demolished'","military_operations","IR","Iran Retaliation"
"2026-03-16 12:10:03","Trump says that Iran has about '8%' of its missiles left.","military_operations","IR",""
"2026-03-16 12:10:03","Reports of blast near US embassy in Baghdad","military_operations","IQ",""
"2026-03-16 11:30:02","Germany and UK are refusing to 'be drawn into wider war', while France and Japan 'dismiss prospect of sending vessels to help reopen Strait of Hormuz', according to Financial Times report.","military_operations","",""
"2026-03-16 11:20:01","Spokesman and security chief of Hezbollah in Iraq has been killed in a US airstrike","military_operations;casualties_humanitarian","IQ;LB",""
"2026-03-16 05:30:01","US military says it has destroyed 100 Iranian navy vessels","military_operations","IR;US",""
"2026-03-16 03:00:01","Iran's foreign minister says that the Strait of Hormuz is only shut to 'enemies and those supporting their aggression'","military_operations","IR",""
"2026-03-16 02:50:02","Israeli military says it has conducted a wave of strikes across targets in Tehran, Shiraz and Tabriz in Iran","military_operations","IL;IR","Op. Epic Fury"
"2026-03-16 02:40:02","Iran says it has launched a missile and drone attack at Israel and US bases in the region","military_operations","IL;IR","Iran Retaliation"
"2026-03-15 23:20:01","Israeli military says it has begun limited and targeted ground operations against Hezbollah in southern Lebanon","military_operations","IL;LB",""
"2026-03-15 19:30:02","KHARG ISLAND - 25 kilometres (16 miles) off the coast of Iran - Sea port exports up to 90% of Iran's oil products - Has storage for up to 30 million barrels of oil - US conducted large strikes on military facilities on the island - Axios reports that Trump is considering boots on the ground to seize it","military_operations","IR",""
"2026-03-15 19:30:02","Australia says it won't send naval vessel to the Strait of Hormuz","military_operations","",""
"2026-03-15 19:10:02","Trump is considering an operation to put boots on the ground and seize Iran's strategic oil depot on Kharg Island, according to Axios report.","military_operations","IR",""
"2026-03-15 17:40:02","Massive blasts near Mehrabad airport in Tehran","military_operations","IR",""
"2026-03-15 17:10:07","Trump says currently in talks with seven countries regarding securing the Strait of Hormuz.","military_operations;diplomacy_negotiations","",""
"2026-03-15 17:00:02","Dubai confirms drone attack near international airport, causing a fire.","military_operations","",""
"2026-03-15 16:30:01","Iran launches missiles towards Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-15 16:20:03","Trump says Beijing should help the US to keep the Strait of Hormuz open, as 'China gets 90% of its oil' through there, according to FT report.","military_operations","CN",""
"2026-03-15 14:30:02","Blasts heard in Baghdad","military_operations","IQ",""
"2026-03-15 14:00:02","Wall Street Journal reports that the US is set to announce a coalition of multiple countries that will escort commercial ships through the Strait of Hormuz.","military_operations","",""
"2026-03-15 13:30:02","Iran's military says it has launched 700 missiles and 3,600 drones so far in the war.","military_operations","IR",""
"2026-03-15 12:40:01","Taiwan says that it has seen a 'surge of Chinese military planes near the island', according to Politico report.","military_operations","CN;TW",""
"2026-03-15 12:40:01","Israeli military has requested approval of up to 450,000 reservists, amid preparation for possible ground invasion in Lebanon, according to Israel's Kan News.","military_operations","IL;LB",""
"2026-03-15 11:40:02","Israeli military is planning for at least another three weeks of war with 'thousands of targets ahead', according to CNN report.","military_operations","IL",""
"2026-03-15 04:30:03","New Iranian missile launch, Israeli air defenses engaging.","military_operations","IL;IR","Iran Retaliation"
"2026-03-15 03:40:02","Israeli military conducting widespread strikes on western Iran","military_operations","IL;IR","Op. Epic Fury"
"2026-03-15 03:20:03","Israel's foreign minister denies reports that his country has a shortage of interceptor missiles","military_operations","IL",""
"2026-03-15 03:00:03","Iranian state television says there has been a new wave of missiles launched towards Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-15 00:50:02","Reports of loud blasts in Isfahan, Iran","military_operations","IR",""
"2026-03-15 00:00:02","🇰🇷 South Korea, which is heavily dependent on oil from the Gulf, is set to consider deployment of naval assets to the Strait of Hormuz.","military_operations","KR",""
"2026-03-14 23:50:01","Iran and Hezbollah coordinated a missile attack on northern Israel","military_operations","IL;IR;LB","Iran Retaliation"
"2026-03-14 19:50:02","Iranian Revolutionary Guards claim their missiles struck industrial areas in Tel Aviv","military_operations","IL;IR",""
"2026-03-14 17:30:01","Iran launches wave of missiles towards Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-14 16:10:01","Iran's foreign minister says that the 'Strait of Hormuz is open' and that it is 'only closed' to those who are 'attacking us and their allies. Others are free to pass'.","military_operations","IR",""
"2026-03-14 14:00:02","Large blasts reported in Shiraz, Iran.","military_operations","IR",""
"2026-03-14 12:30:02","Iranian Revolutionary Guards threaten to attack US industries in the region, as well as factories in which US companies own shares.","military_operations","IR",""
"2026-03-14 12:10:01","Trump says countries that receive oil through the Strait of Hormuz need to take care of that passage and the US will help","military_operations","",""
"2026-03-14 11:20:02","Very large blasts reported in Tehran","military_operations","IR",""
"2026-03-14 04:10:02","Iran launches new wave of missiles against Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-14 03:50:02","Israel's defense minister says that the war is 'escalating' and now in a 'decisive stretch'","military_operations","IL",""
"2026-03-14 00:10:02","Hamas calls on Iran to stop attack on neighbouring countries","military_operations","IR;PS","Op. Swords of Iron"
"2026-03-13 23:40:02","Iran may permit the passage of oil tankers through the Strait of Hormuz if the oil carried is traded in Chinese yuan rather than the US Dollar, according to CNN report.","military_operations","CN;IR",""
"2026-03-13 21:50:01","North Korea launched missile toward Sea of Japan, landing in the sea.","military_operations","KP",""
"2026-03-13 18:30:02","Loud blasts heard across Baghdad as Iranian-allied forces are attacked","military_operations","IQ;IR",""
"2026-03-13 17:50:01","Israel is preparing ground invasion up to Lebanon's Litani River, according to Axios report.","military_operations","IL;LB",""
"2026-03-13 17:10:02","Israel is planning a major ground invasion of Lebanon, according to Axios report.","military_operations","IL;LB",""
"2026-03-13 16:00:02","Trump says that Iran's unconditional surrender means that 'their military is gone, their big threat is gone in every way'","military_operations","IR",""
"2026-03-13 16:00:02","Trump says all military targets on strategic Kharg Island have been destroyed","military_operations","IR",""
"2026-03-13 16:00:02","Trump post about massive strikes on Iran's 'crown jewel', Kharg Island.","military_operations","IR",""
"2026-03-13 15:50:01","Trump says that tankers will 'soon' be escorted by the US Navy through the Strait of Hormuz","military_operations","US",""
"2026-03-13 15:40:03","Loud blasts heard in Doha, cause unclear.","military_operations","",""
"2026-03-13 13:20:02","New attacks on Saudi Arabia and Bahrain","military_operations","SA",""
"2026-03-13 13:00:02","NBC News reports that approximately 5,000 additional US Marines and sailors will be deployed to the Middle East.","military_operations","US",""
"2026-03-13 12:00:03","The Economist reports that if the Strait of Hormuz 'remains closed just until the end of the month, some analysts reckon crude could surge to $150 or even $200 a barrel'.","military_operations","",""
"2026-03-13 11:40:08","Iranian media reports powerful blasts in Tehran amid Israeli strikes","military_operations","IL;IR",""
"2026-03-13 11:40:08","US B-2 bombers are being used to conduct long-range strikes against Iranian targets","military_operations","IR",""
"2026-03-13 11:20:03","The Pentagon is set to deploy a Marine Expeditionary Unit to the Middle East, according to Wall Street Journal report.","military_operations","",""
"2026-03-13 04:20:03","Trump says the US military will be hitting Iran 'very hard' over the next week","military_operations","IR;US",""
"2026-03-13 01:00:03","Israeli military issues evacuation orders for parts of Tehran","military_operations","IL;IR",""
"2026-03-13 00:10:03","Loud blasts heard in Tehran","military_operations","IR",""
"2026-03-12 23:30:03","Iran launches new wave of missiles at Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-12 20:10:03","Trump calls on vessels to 'go through the strait of Hormuz and show some guts', adding that all of the Iranian navy's ships have been sunk.","military_operations","IR",""
"2026-03-12 19:10:02","Large, widespread strikes have been reported in Iran","military_operations","IR",""
"2026-03-12 18:20:02","French soldier killed in drone attack against base in Iraq's Kurdistan region","military_operations;casualties_humanitarian","IQ",""
"2026-03-12 18:20:02","The Pentagon and National Security Council reportedly 'significantly underestimated Iran’s willingness to close the Strait of Hormuz' according to CNN","military_operations","IR",""
"2026-03-12 14:30:02","Reports that French soldiers have been wounded in drone attack in Iraq's Kurdistan region","military_operations;casualties_humanitarian","IQ",""
"2026-03-12 11:10:01","Israeli media reports there are discussions regarding a large ground operation in Lebanon","military_operations","IL;LB",""
"2026-03-12 02:40:02","Israeli military announces it has started a wave of widespread strikes against Iran","military_operations","IL;IR","Op. Epic Fury"
"2026-03-11 23:30:01","Thailand's government summons Iran's ambassador over the targeting of a Thai ship near the Strait of Hormuz","military_operations","IR",""
"2026-03-11 22:00:01","Iran launches new wave of missiles at Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-11 20:50:02","Iraq has shut down its oil port operations amid attacks on tankers","military_operations","IQ",""
"2026-03-11 18:30:02","Reports of a fire near Bahrain's international airport after Iranian drone attack","military_operations","IR",""
"2026-03-11 15:00:02","Oil tanker ablaze after being attacked in the Gulf according to Reuters report","military_operations","",""
"2026-03-11 14:10:02","UN Security Council adopts resolution demanding end to Iranian attacks on Arab countries","military_operations","IR",""
"2026-03-11 12:50:02","Israeli military launches intense wave of strikes on suburbs south of Beirut","military_operations","IL;LB",""
"2026-03-11 12:10:02","Trump says the military has struck 28 Iranian mining ships","military_operations","IR",""
"2026-03-11 11:40:01","Israeli military says it is prepared to continue the war with Iran for 'as long as necessary'.","military_operations","IL;IR",""
"2026-03-11 11:30:02","Sirens sound across northern Israel after large Hezbollah rocket attack","military_operations","IL;LB",""
"2026-03-11 11:20:03","Wall Street Journal reports that Iran is now exporting more oil through the Strait of Hormuz than it did before the war began.","military_operations","IR",""
"2026-03-11 11:00:02","Three Iraqi nationals have been arrested over attempted attack near US embassy in Norway","military_operations","IQ",""
"2026-03-11 11:00:02","Iranian military command says the world should be prepared for oil to hit '$200 a barrel'.","military_operations","IR",""
"2026-03-11 03:00:02","Reuters reports a loud blast was heard in Dubai, cause not yet clear.","military_operations","",""
"2026-03-11 02:30:02","UAE is intercepting missiles and drones launched from Iran","military_operations","IR","Iran Retaliation"
"2026-03-10 22:40:01","Qatar intercepts new Iranian missile attack","military_operations","IR","Iran Retaliation"
"2026-03-10 20:50:02","Reports of an attack on a container ship in the Gulf","military_operations","",""
"2026-03-10 17:10:02","US-Israeli strikes on Iran on Tuesday were the 'most intense airstrikes of the war', according to Reuters report.","military_operations","IL;IR","Op. Epic Fury"
"2026-03-10 16:40:02","Reports of attack on US diplomatic facility near Baghdad airport","military_operations;diplomacy_negotiations","IQ",""
"2026-03-10 13:30:03","Trump says the US military has hit and destroyed Iranian mine-laying boats","military_operations","IR;US",""
"2026-03-10 13:00:02","Post from Iran's Speaker of Parliament over reports that a US navy ship escorted a tanker through the Strait of Hormuz.","military_operations","IR;US",""
"2026-03-10 12:50:02","Trump says military consequences to Iran if mines are not removed form Strait of Hormuz will 'be at a level never seen before'","military_operations","IR",""
"2026-03-10 12:40:02","Iranian state media reports large blasts in Tehran","military_operations","IR",""
"2026-03-10 12:30:03","White House Press Secretary Karoline Leavitt says Iranian ballistic missile attacks are down more than 90% and drone attacks by around 85% since the start of the war","military_operations","IR","Iran Retaliation"
"2026-03-10 12:30:03","Iran has begun laying mines in the Strait of Hormuz according to CNN report","military_operations","IR",""
"2026-03-10 12:00:02","White House says military operations will continue until 'Iran is in a position of complete and unconditional surrender'","military_operations","IR",""
"2026-03-10 11:40:03","White House says US Navy has not escorted vessels through the Strait of Hormuz","military_operations","US",""
"2026-03-10 11:30:03","White House says US military has destroyed over 50 Iranian navy vessels","military_operations","IR;US",""
"2026-03-10 11:30:03","Oil prices up 12% in past hour on reports Iran may be taking steps to deploy mines in the Strait of Hormuz","military_operations","IR",""
"2026-03-10 11:30:02","The US has asked Israel to halt strikes on energy facilities in Iran, according to Axios.","military_operations","IL;IR","Op. Epic Fury"
"2026-03-10 11:20:03","As many as 150 US troops injured in Iran war so far, according to Reuters report.","military_operations","IR",""
"2026-03-10 11:20:03","US intelligence believes there are indications Iran is preparing to deploy naval mines in the Strait of Hormuz, according to CBS News.","military_operations","IR",""
"2026-03-10 03:40:02","Israel is conducting a new wave of strikes against targets in Iran","military_operations","IL;IR","Op. Epic Fury"
"2026-03-10 01:30:02","Iran says it has launched a new attack on Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-09 21:30:02","UAE issues missile alert, says its air defenses are engaging an Iranian attack.","military_operations","IR",""
"2026-03-09 20:30:03","Syrian government says that Hezbollah has shelled positions near Damascus","military_operations","LB;SY",""
"2026-03-09 18:50:02","Trump response to Iranian threats over the Strait of Hormuz","military_operations","IR",""
"2026-03-09 17:20:02","Iran's Revolutionary Guards threaten that they will 'not allow a single liter of oil to be exported from the region' if US and Israeli strikes continue","military_operations","IL;IR",""
"2026-03-09 16:30:02","Israeli military says that over 1,900 Iranian military personnel have been killed in the war so far.","military_operations;casualties_humanitarian","IL;IR",""
"2026-03-09 15:00:02","Israeli military says an additional wave of missiles have been launched from Iran","military_operations","IL;IR","Iran Retaliation"
"2026-03-09 14:50:03","Iranian Revolutionary Guards it will open Strait of Hormuz for Arab and European countries that expel US and Israeli ambassadors","military_operations","IL;IR",""
"2026-03-09 14:50:03","US military says it has struck 5,000 targets in Iran since the war began.","military_operations","IR;US",""
"2026-03-09 14:20:02","Trump says the US has got rid of 80% of Iran's missile sites","military_operations","IR","Iran Retaliation"
"2026-03-09 14:00:02","Trump says US has destroyed 46 Iranian navy vessels","military_operations","IR",""
"2026-03-09 13:50:01","Australia is planning to provide the UAE with medium range air-to-air missiles","military_operations","",""
"2026-03-09 12:50:02","Israeli military says new wave of missiles have been launched from Iran","military_operations","IL;IR","Iran Retaliation"
"2026-03-09 12:40:04","Trump is considering taking over Strait of Hormuz, according to CBS News report.","military_operations","",""
"2026-03-09 12:30:02","Trump tells CBS that the war is 'very complete' and the US is 'very far' ahead of schedule, as Iran now has 'no navy, no communications and no air force'.","military_operations","IR",""
"2026-03-09 12:20:01","Lebanon's government says that 450,000 people are now displaced due to the war between Israel and Hezbollah.","military_operations;casualties_humanitarian","IL;LB",""
"2026-03-09 10:30:02","Turkey summons Iran's ambassador over missile being fired at Turkish territory","military_operations","IR;TR","Iran Retaliation"
"2026-03-09 04:20:02","US strikes on Iranian vessels, with reports they may be oil tankers.","military_operations","IR",""
"2026-03-09 03:00:02","One person has been killed in central Israel due to missile attack, raising its death toll since the war started to 11.","military_operations;casualties_humanitarian","IL",""
"2026-03-08 23:30:02","Bahrain's oil company declares force majeure after Iranian attack on its only refinery ablaze, according to Associated Press report.","military_operations","IR",""
"2026-03-08 21:40:02","Bahrain's biggest oil refinery hit by Iranian strikes earlier today","military_operations","IR",""
"2026-03-08 19:20:03","Israeli military says it has started a new wave of strikes on central Iran.","military_operations","IL;IR","Op. Epic Fury"
"2026-03-08 18:00:03","Saudi Arabia intercepts drone that was targeting the Shaybah oil field, which produces around a million barrels daily.","military_operations","SA",""
"2026-03-08 18:00:03","Strong blasts heard in Tehran","military_operations","IR",""
"2026-03-08 16:20:03","Iran launches new missile attack on Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-08 15:30:01","Qatar's Prime Minister calls Iranian attacks on his country a 'great betrayal'.","military_operations","IR",""
